,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-5023716.0,-5254163.0,-1660830.0
Total Unusual Items,-10167430.0,194595.0,-2076885.0
Total Unusual Items Excluding Goodwill,-10167430.0,194595.0,-2076885.0
Net Income From Continuing Operation Net Minority Interest,-16205252.0,-9051334.0,-6478923.0
Reconciled Depreciation,124788.0,242556.0,242124.0
EBITDA,-15191146.0,-5059568.0,-3737715.0
EBIT,-15315934.0,-5302124.0,-3979839.0
Net Interest Income,-889318.0,-3749210.0,-2499084.0
Interest Expense,889318.0,3749210.0,2499084.0
Normalized Income,-6037822.0,-9245929.0,-4402038.0
Net Income From Continuing And Discontinued Operation,-15445087.0,-9051334.0,-6478923.0
Total Expenses,5217276.0,5507641.0,1940332.0
Total Operating Income As Reported,-5943556.0,-5507641.0,-1940332.0
Diluted Average Shares,11021167.0,1756817.0,1756817.0
Basic Average Shares,11021167.0,1756817.0,1756817.0
Diluted EPS,-1.46,-5.47,-3.863151
Basic EPS,-1.46,-5.47,-3.863151
Diluted NI Availto Com Stockholders,-16121110.0,-9607835.0,-6786850.0
Net Income Common Stockholders,-16121110.0,-9607835.0,-6786850.0
Preferred Stock Dividends,676023.0,556501.0,307927.0
Net Income,-15445087.0,-9051334.0,-6478923.0
Net Income Including Noncontrolling Interests,-15445087.0,-9051334.0,-6478923.0
Net Income Discontinuous Operations,760165.0,0.0,
Net Income Continuous Operations,-16205252.0,-9051334.0,-6478923.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-16205252.0,-9051334.0,-6478923.0
Other Income Expense,-10098658.0,205517.0,-2039507.0
Other Non Operating Income Expenses,68772.0,10922.0,37378.0
Special Income Charges,-726280.0,-1064692.0,438180.0
Other Special Charges,,1064692.0,-438180.0
Restructuring And Mergern Acquisition,726280.0,0.0,
Gain On Sale Of Security,-9441150.0,1259287.0,-2515065.0
Net Non Operating Interest Income Expense,-889318.0,-3749210.0,-2499084.0
Total Other Finance Cost,,2044241.0,1783597.0
Interest Expense Non Operating,889318.0,3749210.0,2499084.0
Operating Income,-5217276.0,-5507641.0,-1940332.0
Operating Expense,5217276.0,5507641.0,1940332.0
Depreciation Amortization Depletion Income Statement,97113.0,94298.0,94162.0
Depreciation And Amortization In Income Statement,97113.0,94298.0,94162.0
Research And Development,2497218.0,2196063.0,982837.0
Selling General And Administration,2622945.0,3217280.0,863333.0
General And Administrative Expense,2622945.0,3217280.0,863333.0
Other Gand A,2622945.0,3217280.0,863333.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
