,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.25,0.0,0.0
Normalized EBITDA,-1168926.0,-2155.0,0.0
Net Income From Continuing Operation Net Minority Interest,1304731.0,-2155.0,0.0
EBITDA,-1168926.0,-2155.0,0.0
EBIT,-1168926.0,-2155.0,0.0
Net Interest Income,2908568.0,0.0,
Interest Income,2908568.0,0.0,
Normalized Income,1304731.0,-2155.0,0.0
Net Income From Continuing And Discontinued Operation,1304731.0,-2155.0,0.0
Total Expenses,1168926.0,2155.0,0.0
Total Operating Income As Reported,-1168926.0,-2155.0,
Diluted Average Shares,8047196.0,9448000.0,9448000.0
Basic Average Shares,2476329.0,9448000.0,9448000.0
Diluted EPS,0.16,-0.000228,0.0
Basic EPS,0.16,-0.000228,0.0
Diluted NI Availto Com Stockholders,1304731.0,-2155.0,0.0
Net Income Common Stockholders,1304731.0,-2155.0,0.0
Net Income,1304731.0,-2155.0,0.0
Net Income Including Noncontrolling Interests,1304731.0,-2155.0,0.0
Net Income Continuous Operations,1304731.0,-2155.0,0.0
Tax Provision,434911.0,0.0,
Pretax Income,1739642.0,-2155.0,0.0
Net Non Operating Interest Income Expense,2908568.0,0.0,
Interest Income Non Operating,2908568.0,0.0,
Operating Income,-1168926.0,-2155.0,0.0
Operating Expense,1168926.0,2155.0,0.0
Other Operating Expenses,1168926.0,2155.0,
Selling General And Administration,,2155.0,0.0
General And Administrative Expense,,2155.0,
Other Gand A,,2155.0,
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
