,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-31982000.0,-63561000.0
Total Unusual Items,-9958000.0,911000.0
Total Unusual Items Excluding Goodwill,-9958000.0,911000.0
Net Income From Continuing Operation Net Minority Interest,-44099000.0,-64751000.0
Reconciled Depreciation,2091000.0,2087000.0
Reconciled Cost Of Revenue,5687000.0,
EBITDA,-41940000.0,-62650000.0
EBIT,-44031000.0,-64737000.0
Net Interest Income,1709000.0,182000.0
Interest Expense,68000.0,14000.0
Interest Income,1777000.0,196000.0
Normalized Income,-34141000.0,-65662000.0
Net Income From Continuing And Discontinued Operation,-44099000.0,-64751000.0
Total Expenses,47845000.0,66023000.0
Total Operating Income As Reported,-35850000.0,-65844000.0
Diluted NI Availto Com Stockholders,-44099000.0,-64751000.0
Net Income Common Stockholders,-44099000.0,-64751000.0
Net Income,-44099000.0,-64751000.0
Net Income Including Noncontrolling Interests,-44099000.0,-64751000.0
Net Income Continuous Operations,-44099000.0,-64751000.0
Pretax Income,-44099000.0,-64751000.0
Other Income Expense,-9958000.0,911000.0
Gain On Sale Of Security,-9958000.0,911000.0
Net Non Operating Interest Income Expense,1709000.0,182000.0
Interest Expense Non Operating,68000.0,14000.0
Interest Income Non Operating,1777000.0,196000.0
Operating Income,-35850000.0,-65844000.0
Operating Expense,42158000.0,66023000.0
Research And Development,17943000.0,31428000.0
Selling General And Administration,24215000.0,34595000.0
Selling And Marketing Expense,11380000.0,8443000.0
General And Administrative Expense,12835000.0,26152000.0
Other Gand A,9197000.0,21606000.0
Salaries And Wages,3638000.0,4546000.0
Gross Profit,6308000.0,179000.0
Cost Of Revenue,5687000.0,
Total Revenue,11995000.0,179000.0
Operating Revenue,11995000.0,179000.0
