,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-50869000.0,-47092000.0,-34791000.0
Total Unusual Items,-24746000.0,448000.0,0.0
Total Unusual Items Excluding Goodwill,-24746000.0,448000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-79223000.0,-47821000.0,-36000000.0
Reconciled Cost Of Revenue,55094000.0,57445000.0,49232000.0
EBITDA,-75615000.0,-46644000.0,-34791000.0
EBIT,-75615000.0,-46644000.0,-34791000.0
Net Interest Income,-5441000.0,-1296000.0,-1620000.0
Interest Expense,3608000.0,1177000.0,1209000.0
Interest Income,61000.0,94000.0,84000.0
Normalized Income,-54477000.0,-48269000.0,-36000000.0
Net Income From Continuing And Discontinued Operation,-79223000.0,-47821000.0,-36000000.0
Total Expenses,87554000.0,87581000.0,76235000.0
Diluted Average Shares,,1875184.0,1875184.0
Basic Average Shares,,1875184.0,1875184.0
Diluted EPS,,-25.502031,-19.198116
Basic EPS,,-25.502031,-19.198116
Diluted NI Availto Com Stockholders,-79223000.0,-47821000.0,-36000000.0
Net Income Common Stockholders,-79223000.0,-47821000.0,-36000000.0
Net Income,-79223000.0,-47821000.0,-36000000.0
Net Income Including Noncontrolling Interests,-79223000.0,-47821000.0,-36000000.0
Net Income Continuous Operations,-79223000.0,-47821000.0,-36000000.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-79223000.0,-47821000.0,-36000000.0
Other Income Expense,-24488000.0,720000.0,6918000.0
Other Non Operating Income Expenses,258000.0,272000.0,6918000.0
Special Income Charges,-24746000.0,0.0,0.0
Restructuring And Mergern Acquisition,24746000.0,0.0,0.0
Gain On Sale Of Security,,448000.0,
Net Non Operating Interest Income Expense,-5441000.0,-1296000.0,-1620000.0
Total Other Finance Cost,1894000.0,213000.0,495000.0
Interest Expense Non Operating,3608000.0,1177000.0,1209000.0
Interest Income Non Operating,61000.0,94000.0,84000.0
Operating Income,-49294000.0,-47245000.0,-41298000.0
Operating Expense,32460000.0,30136000.0,27003000.0
Other Operating Expenses,220000.0,-1493000.0,-138000.0
Research And Development,16180000.0,16933000.0,10513000.0
Selling General And Administration,16060000.0,14696000.0,16628000.0
Selling And Marketing Expense,1494000.0,1550000.0,938000.0
General And Administrative Expense,14566000.0,13146000.0,15690000.0
Other Gand A,14566000.0,13146000.0,15690000.0
Gross Profit,-16834000.0,-17109000.0,-14295000.0
Cost Of Revenue,55094000.0,57445000.0,49232000.0
Total Revenue,38260000.0,40336000.0,34937000.0
Operating Revenue,38260000.0,40336000.0,34937000.0
