,2023-04-30,2022-04-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-5124805.0,-5063261.0
Total Unusual Items,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-5453109.0,-5379370.0
Reconciled Depreciation,157802.0,151478.0
Reconciled Cost Of Revenue,293204.0,167193.0
EBITDA,-5124805.0,-5063261.0
EBIT,-5282607.0,-5214739.0
Net Interest Income,-169776.0,-177126.0
Interest Expense,169776.0,177273.0
Interest Income,0.0,147.0
Normalized Income,-5453109.0,-5379370.0
Net Income From Continuing And Discontinued Operation,-5453109.0,-5379370.0
Total Expenses,5367791.0,5134319.0
Rent Expense Supplemental,,76483.0
Total Operating Income As Reported,-4948379.0,-4828942.0
Diluted Average Shares,42522091.0,42522091.0
Basic Average Shares,42522091.0,42522091.0
Diluted EPS,-0.128242,-0.126508
Basic EPS,-0.128242,-0.126508
Diluted NI Availto Com Stockholders,-5453109.0,-5379370.0
Net Income Common Stockholders,-5453109.0,-5379370.0
Net Income,-5453109.0,-5379370.0
Minority Interests,-726.0,12642.0
Net Income Including Noncontrolling Interests,-5452383.0,-5392012.0
Net Income Continuous Operations,-5452383.0,-5392012.0
Tax Provision,0.0,0.0
Pretax Income,-5452383.0,-5392012.0
Other Income Expense,-334228.0,-385944.0
Other Non Operating Income Expenses,-334228.0,-385944.0
Special Income Charges,0.0,0.0
Gain On Sale Of Business,0.0,0.0
Net Non Operating Interest Income Expense,-169776.0,-177126.0
Interest Expense Non Operating,169776.0,177273.0
Interest Income Non Operating,0.0,147.0
Operating Income,-4948379.0,-4828942.0
Operating Expense,5074587.0,4967126.0
Other Operating Expenses,315609.0,356486.0
Depreciation Amortization Depletion Income Statement,157802.0,151478.0
Depreciation And Amortization In Income Statement,157802.0,151478.0
Selling General And Administration,4601176.0,4459162.0
Selling And Marketing Expense,2002884.0,2569730.0
General And Administrative Expense,2598292.0,1889432.0
Other Gand A,1483889.0,712322.0
Salaries And Wages,1114403.0,1177110.0
Gross Profit,126208.0,138184.0
Cost Of Revenue,293204.0,167193.0
Total Revenue,419412.0,305377.0
Operating Revenue,419412.0,305377.0
