,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,807086.91,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-3173826.0,-1640990.0
Total Unusual Items,3843271.0,1221600.0
Total Unusual Items Excluding Goodwill,3843271.0,1221600.0
Net Income From Continuing Operation Net Minority Interest,632536.0,-419390.0
EBITDA,669445.0,-419390.0
EBIT,669445.0,-419390.0
Net Interest Income,-36909.0,0.0
Interest Expense,36909.0,0.0
Interest Income,,1221600.0
Normalized Income,-2403648.09,-1640990.0
Net Income From Continuing And Discontinued Operation,632536.0,-419390.0
Total Expenses,3173826.0,1640990.0
Diluted Average Shares,9988533.0,8292486.0
Basic Average Shares,2572500.0,2236392.0
Diluted EPS,0.063326,-0.18753
Basic EPS,0.245884,-0.18753
Diluted NI Availto Com Stockholders,632536.0,-419390.0
Net Income Common Stockholders,632536.0,-419390.0
Net Income,632536.0,-419390.0
Net Income Including Noncontrolling Interests,632536.0,-419390.0
Net Income Continuous Operations,632536.0,-419390.0
Pretax Income,632536.0,-419390.0
Other Income Expense,3843271.0,1221600.0
Gain On Sale Of Security,3843271.0,1221600.0
Net Non Operating Interest Income Expense,-36909.0,0.0
Interest Expense Non Operating,36909.0,0.0
Interest Income Non Operating,,1221600.0
Operating Income,-3173826.0,-1640990.0
Operating Expense,3173826.0,1640990.0
Other Operating Expenses,3173826.0,1640990.0
Selling General And Administration,3173826.0,1640990.0
General And Administrative Expense,3173826.0,1640990.0
Other Gand A,3173826.0,1640990.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
