,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-65588000.0,-48531000.0,-15241000.0
Repayment Of Debt,-88409000.0,0.0,-29396000.0
Issuance Of Debt,88480000.0,30953000.0,48469000.0
Issuance Of Capital Stock,,0.0,9871000.0
Capital Expenditure,-1606000.0,-1550000.0,-912000.0
Interest Paid Supplemental Data,8035000.0,3476000.0,1321000.0
End Cash Position,38421000.0,8023000.0,26017000.0
Beginning Cash Position,8023000.0,26017000.0,12313000.0
Changes In Cash,30398000.0,-17994000.0,13704000.0
Financing Cash Flow,95986000.0,30537000.0,28945000.0
Cash Flow From Continuing Financing Activities,95986000.0,30537000.0,28945000.0
Net Other Financing Charges,95702000.0,-548000.0,-522000.0
Proceeds From Stock Option Exercised,213000.0,132000.0,523000.0
Net Preferred Stock Issuance,,0.0,9871000.0
Preferred Stock Issuance,,0.0,9871000.0
Net Issuance Payments Of Debt,71000.0,30953000.0,19073000.0
Net Long Term Debt Issuance,71000.0,30953000.0,19073000.0
Long Term Debt Payments,-88409000.0,0.0,-29396000.0
Long Term Debt Issuance,88480000.0,30953000.0,48469000.0
Investing Cash Flow,-1606000.0,-1550000.0,-912000.0
Cash Flow From Continuing Investing Activities,-1606000.0,-1550000.0,-912000.0
Net PPE Purchase And Sale,-1606000.0,-1550000.0,-912000.0
Purchase Of PPE,-1606000.0,-1550000.0,-912000.0
Operating Cash Flow,-63982000.0,-46981000.0,-14329000.0
Cash Flow From Continuing Operating Activities,-63982000.0,-46981000.0,-14329000.0
Change In Working Capital,194000.0,-13788000.0,-1495000.0
Change In Other Current Liabilities,-789000.0,-733000.0,0.0
Change In Payables And Accrued Expense,5721000.0,11489000.0,2086000.0
Change In Accrued Expense,1057000.0,8165000.0,2574000.0
Change In Payable,4664000.0,3324000.0,-488000.0
Change In Account Payable,4664000.0,3324000.0,-488000.0
Change In Prepaid Assets,285000.0,-577000.0,-1369000.0
Change In Inventory,-3705000.0,-1150000.0,-1285000.0
Change In Receivables,-1318000.0,-22817000.0,-927000.0
Changes In Account Receivables,-1318000.0,-22817000.0,-927000.0
Other Non Cash Items,-22151000.0,2057000.0,-321000.0
Stock Based Compensation,8357000.0,437000.0,313000.0
Provisionand Write Offof Assets,14074000.0,436000.0,220000.0
Depreciation Amortization Depletion,746000.0,895000.0,707000.0
Depreciation And Amortization,746000.0,895000.0,707000.0
Depreciation,746000.0,895000.0,707000.0
Operating Gains Losses,15405000.0,726000.0,-1367000.0
Gain Loss On Investment Securities,-4442000.0,839000.0,240000.0
Net Foreign Currency Exchange Gain Loss,-180000.0,-113000.0,
Net Income From Continuing Operations,-80607000.0,-37744000.0,-12386000.0
