,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,52775.156
Tax Rate For Calcs,0.258,0.223,0.161
Normalized EBITDA,1555995.0,3660074.0,2192895.0
Total Unusual Items,,0.0,327796.0
Total Unusual Items Excluding Goodwill,,0.0,327796.0
Net Income From Continuing Operation Net Minority Interest,133870.0,816980.0,1170205.0
Reconciled Depreciation,140145.0,169503.0,87794.0
Reconciled Cost Of Revenue,34069058.0,50683954.0,36202694.0
EBITDA,1555995.0,3660074.0,2520691.0
EBIT,1415850.0,3490571.0,2432897.0
Net Interest Income,-1290142.0,-2489359.0,-1075545.0
Interest Expense,1235323.0,2439112.0,1038820.0
Normalized Income,133870.0,816980.0,895184.156
Net Income From Continuing And Discontinued Operation,133870.0,816980.0,1170205.0
Total Expenses,36876899.0,51625492.0,37063932.0
Rent Expense Supplemental,268801.0,218305.0,134680.0
Total Operating Income As Reported,1388231.0,2139612.0,2117472.0
Diluted Average Shares,1073945.0,1119750.0,1119750.0
Basic Average Shares,1073945.0,1119750.0,1119750.0
Diluted EPS,0.16,0.729609,1.045059
Basic EPS,0.16,0.729609,1.045059
Diluted NI Availto Com Stockholders,133870.0,816980.0,1170205.0
Net Income Common Stockholders,133870.0,816980.0,1170205.0
Net Income,133870.0,816980.0,1170205.0
Net Income Including Noncontrolling Interests,133870.0,816980.0,1170205.0
Net Income Continuous Operations,133870.0,816980.0,1170205.0
Tax Provision,46657.0,234479.0,223872.0
Pretax Income,180527.0,1051459.0,1394077.0
Other Income Expense,31593.0,12974.0,329518.0
Other Non Operating Income Expenses,31593.0,12974.0,1722.0
Special Income Charges,,0.0,327796.0
Other Special Charges,,-1340316.0,-327796.0
Net Non Operating Interest Income Expense,-1290142.0,-2489359.0,-1075545.0
Total Other Finance Cost,54819.0,50247.0,36725.0
Interest Expense Non Operating,1235323.0,2439112.0,1038820.0
Operating Income,1439075.0,3527843.0,2140104.0
Operating Expense,2807841.0,941538.0,861238.0
Other Operating Expenses,,-1340316.0,
Selling General And Administration,2807841.0,2281854.0,861238.0
Selling And Marketing Expense,522409.0,718640.0,135926.0
General And Administrative Expense,2285432.0,1563214.0,725312.0
Other Gand A,1022351.0,731147.0,166814.0
Insurance And Claims,155787.0,15130.0,
Rent And Landing Fees,268801.0,218305.0,134680.0
Salaries And Wages,838493.0,598632.0,423818.0
Gross Profit,4246916.0,4469381.0,3001342.0
Cost Of Revenue,34069058.0,50683954.0,36202694.0
Total Revenue,38315974.0,55153335.0,39204036.0
Operating Revenue,38315974.0,55153335.0,39204036.0
