,2023-12-31,2022-12-31
Free Cash Flow,-74928000.0,-16427000.0
Issuance Of Capital Stock,315391000.0,168317000.0
Capital Expenditure,-167000.0,
End Cash Position,118610000.0,151890000.0
Beginning Cash Position,151890000.0,0.0
Changes In Cash,-33280000.0,151890000.0
Financing Cash Flow,315391000.0,168317000.0
Cash Flow From Continuing Financing Activities,315391000.0,168317000.0
Net Preferred Stock Issuance,0.0,168317000.0
Preferred Stock Issuance,0.0,168317000.0
Net Common Stock Issuance,315391000.0,0.0
Common Stock Issuance,315391000.0,0.0
Investing Cash Flow,-273910000.0,0.0
Cash Flow From Continuing Investing Activities,-273910000.0,0.0
Net Investment Purchase And Sale,-273743000.0,0.0
Sale Of Investment,30000000.0,0.0
Purchase Of Investment,-303743000.0,0.0
Net PPE Purchase And Sale,-167000.0,0.0
Purchase Of PPE,-167000.0,0.0
Operating Cash Flow,-74761000.0,-16427000.0
Cash Flow From Continuing Operating Activities,-74761000.0,-16427000.0
Change In Working Capital,6105000.0,9815000.0
Change In Other Current Liabilities,-270000.0,0.0
Change In Other Current Assets,-107000.0,0.0
Change In Payables And Accrued Expense,9267000.0,9980000.0
Change In Accrued Expense,7654000.0,9562000.0
Change In Payable,1613000.0,418000.0
Change In Account Payable,1613000.0,418000.0
Change In Prepaid Assets,-2785000.0,-165000.0
Other Non Cash Items,87000.0,11401000.0
Stock Based Compensation,6103000.0,2142000.0
Amortization Of Securities,-3071000.0,0.0
Net Income From Continuing Operations,-83985000.0,-39785000.0
