,2023-12-31,2022-12-31
Free Cash Flow,-515181.0,-27403.0
Repurchase Of Capital Stock,-141000.0,0.0
Repayment Of Debt,-61957.0,-49556.0
Issuance Of Debt,821941.0,75000.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,106809.0,3006.0
Beginning Cash Position,3006.0,4965.0
Changes In Cash,103803.0,-1959.0
Financing Cash Flow,618984.0,25444.0
Cash Flow From Continuing Financing Activities,618984.0,25444.0
Net Common Stock Issuance,-141000.0,0.0
Common Stock Payments,-141000.0,0.0
Net Issuance Payments Of Debt,759984.0,25444.0
Net Short Term Debt Issuance,759984.0,25444.0
Short Term Debt Payments,-61957.0,-49556.0
Short Term Debt Issuance,821941.0,75000.0
Investing Cash Flow,0.0,0.0
Operating Cash Flow,-515181.0,-27403.0
Cash Flow From Continuing Operating Activities,-515181.0,-27403.0
Change In Working Capital,-101175.0,0.0
Change In Payables And Accrued Expense,-86175.0,0.0
Change In Accrued Expense,-98019.0,0.0
Change In Interest Payable,22064.0,0.0
Change In Payable,11844.0,
Change In Account Payable,11844.0,0.0
Change In Receivables,-15000.0,0.0
Other Non Cash Items,87289.0,
Net Income From Continuing Operations,-501295.0,-27403.0
