,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.189,0.162
Normalized EBITDA,11644000.0,5207000.0
Net Income From Continuing Operation Net Minority Interest,3759000.0,1646000.0
Reconciled Depreciation,518000.0,503000.0
Reconciled Cost Of Revenue,6949000.0,5606000.0
EBITDA,11644000.0,5207000.0
EBIT,11126000.0,4704000.0
Net Interest Income,14473000.0,13402000.0
Interest Expense,6490000.0,2741000.0
Interest Income,6490000.0,2741000.0
Normalized Income,3759000.0,1646000.0
Net Income From Continuing And Discontinued Operation,3759000.0,1646000.0
Total Expenses,10612000.0,11754000.0
Rent Expense Supplemental,1041000.0,1062000.0
Diluted Average Shares,1717941.0,4130815.0
Basic Average Shares,1717941.0,4130815.0
Diluted EPS,2.19,0.398469
Basic EPS,2.19,0.398469
Diluted NI Availto Com Stockholders,3759000.0,1646000.0
Net Income Common Stockholders,3759000.0,1646000.0
Net Income,3759000.0,1646000.0
Net Income Including Noncontrolling Interests,3759000.0,1646000.0
Net Income Continuous Operations,3759000.0,1646000.0
Tax Provision,877000.0,317000.0
Pretax Income,4636000.0,1963000.0
Other Income Expense,775000.0,315000.0
Other Non Operating Income Expenses,775000.0,315000.0
Net Non Operating Interest Income Expense,14473000.0,13402000.0
Interest Expense Non Operating,6490000.0,2741000.0
Interest Income Non Operating,20963000.0,16143000.0
Operating Income,-10612000.0,-11754000.0
Operating Expense,3663000.0,6148000.0
Provision For Doubtful Accounts,88000.0,2877000.0
Selling General And Administration,3575000.0,3271000.0
Selling And Marketing Expense,308000.0,321000.0
General And Administrative Expense,3267000.0,2950000.0
Other Gand A,1985000.0,1717000.0
Insurance And Claims,241000.0,171000.0
Rent And Landing Fees,1041000.0,1062000.0
Gross Profit,-6949000.0,-5606000.0
Cost Of Revenue,6949000.0,5606000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
