,2022-12-31,2021-12-31
Free Cash Flow,-63966000.0,-48521000.0
Repayment Of Debt,-2847000.0,-2236000.0
Issuance Of Debt,29718000.0,0.0
Issuance Of Capital Stock,2800000.0,70526000.0
Capital Expenditure,-8087000.0,-12411000.0
Interest Paid Supplemental Data,742000.0,230000.0
Income Tax Paid Supplemental Data,0.0,8000.0
End Cash Position,25274000.0,59370000.0
Beginning Cash Position,59370000.0,17556000.0
Effect Of Exchange Rate Changes,43000.0,0.0
Changes In Cash,-34139000.0,41814000.0
Financing Cash Flow,29827000.0,69408000.0
Cash Flow From Continuing Financing Activities,29827000.0,69408000.0
Proceeds From Stock Option Exercised,156000.0,1118000.0
Net Preferred Stock Issuance,2800000.0,70526000.0
Preferred Stock Issuance,2800000.0,70526000.0
Net Issuance Payments Of Debt,26871000.0,-2236000.0
Net Long Term Debt Issuance,26871000.0,-2236000.0
Long Term Debt Payments,-2847000.0,-2236000.0
Long Term Debt Issuance,29718000.0,0.0
Investing Cash Flow,-8087000.0,8516000.0
Cash Flow From Continuing Investing Activities,-8087000.0,8516000.0
Net Investment Purchase And Sale,0.0,20711000.0
Sale Of Investment,0.0,21610000.0
Purchase Of Investment,0.0,-899000.0
Net PPE Purchase And Sale,-8087000.0,-12195000.0
Sale Of PPE,0.0,216000.0
Purchase Of PPE,-8087000.0,-12411000.0
Operating Cash Flow,-55879000.0,-36110000.0
Cash Flow From Continuing Operating Activities,-55879000.0,-36110000.0
Change In Working Capital,-6994000.0,-3725000.0
Change In Other Working Capital,,-1000000.0
Change In Other Current Liabilities,1523000.0,-1166000.0
Change In Other Current Assets,-9007000.0,386000.0
Change In Payables And Accrued Expense,-1835000.0,1129000.0
Change In Accrued Expense,-1707000.0,1095000.0
Change In Payable,-128000.0,34000.0
Change In Account Payable,-128000.0,34000.0
Change In Prepaid Assets,526000.0,-1275000.0
Change In Receivables,1799000.0,-1799000.0
Other Non Cash Items,27000.0,7794000.0
Stock Based Compensation,1159000.0,1669000.0
Asset Impairment Charge,0.0,625000.0
Depreciation Amortization Depletion,3794000.0,4304000.0
Depreciation And Amortization,3794000.0,4304000.0
Depreciation,3794000.0,4304000.0
Operating Gains Losses,-2164000.0,-8274000.0
Gain Loss On Investment Securities,-1032000.0,436000.0
Gain Loss On Sale Of PPE,868000.0,102000.0
Net Income From Continuing Operations,-51701000.0,-38503000.0
