,2024-06-30,2023-06-30,2022-12-31,2022-06-30,2021-12-31,2021-06-30
Treasury Shares Number,0.0,,,,,
Ordinary Shares Number,50957370.0,49167170.0,49167170.0,49167170.0,,
Share Issued,50957370.0,49167170.0,49167170.0,49167170.0,,
Net Debt,78458000.0,132911000.0,453643.0,137876000.0,,
Total Debt,109833000.0,148678000.0,471599.0,148662000.0,,
Tangible Book Value,-14868000.0,-26938000.0,114726350.0,10261000.0,,
Invested Capital,167216000.0,213310000.0,115197949.0,248273000.0,,
Working Capital,48293000.0,-40373000.0,-2389200.0,8381000.0,,
Net Tangible Assets,-14868000.0,-26938000.0,114726350.0,10261000.0,,
Capital Lease Obligations,30246000.0,14902000.0,,9317000.0,,14710000.0
Common Stock Equity,87629000.0,79534000.0,114726350.0,108928000.0,,
Total Capitalization,167216000.0,79534000.0,114726350.0,112305000.0,,
Total Equity Gross Minority Interest,87629000.0,79534000.0,114726350.0,108928000.0,,
Stockholders Equity,87629000.0,79534000.0,114726350.0,108928000.0,,
Gains Losses Not Affecting Retained Earnings,-79000.0,-77000.0,,-66000.0,,-73000.0
Other Equity Adjustments,-79000.0,-77000.0,,-66000.0,,-73000.0
Treasury Stock,,0.0,,2674000.0,,2674000.0
Retained Earnings,39645000.0,35064000.0,-2414653.0,71668000.0,,
Additional Paid In Capital,48058000.0,44542000.0,0.0,39995000.0,,
Capital Stock,5000.0,5000.0,117141003.0,5000.0,,
Common Stock,5000.0,5000.0,117141003.0,5000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,253183000.0,309996000.0,3103556.0,364111000.0,,
Total Non Current Liabilities Net Minority Interest,105263000.0,8757000.0,693900.0,13512000.0,,
Derivative Product Liabilities,247000.0,206000.0,693900.0,0.0,,
Non Current Deferred Liabilities,,0.0,,5271000.0,,6448000.0
Non Current Deferred Taxes Liabilities,,0.0,,5271000.0,,6448000.0
Long Term Debt And Capital Lease Obligation,105016000.0,8551000.0,,8241000.0,,63607000.0
Long Term Capital Lease Obligation,25429000.0,8551000.0,,4864000.0,,9277000.0
Long Term Debt,79587000.0,7029000.0,,3377000.0,,54330000.0
Current Liabilities,147920000.0,301239000.0,2409656.0,350599000.0,,
Other Current Liabilities,511000.0,150000.0,,,,
Current Debt And Capital Lease Obligation,4817000.0,140127000.0,471599.0,140421000.0,,
Current Capital Lease Obligation,4817000.0,6351000.0,,4453000.0,,5433000.0
Current Debt,,133776000.0,471599.0,135968000.0,,3000000.0
Other Current Borrowings,,133281000.0,,,,3000000.0
Line Of Credit,,133281000.0,,135968000.0,,0.0
Current Notes Payable,0.0,495000.0,471599.0,0.0,,
Payables And Accrued Expenses,142592000.0,160962000.0,1938057.0,210178000.0,,
Current Accrued Expenses,9371000.0,9340000.0,1642990.0,11573000.0,,
Payables,133221000.0,151622000.0,295067.0,198605000.0,,
Dueto Related Parties Current,,,30582.0,,,
Total Tax Payable,,0.0,264485.0,418000.0,0.0,
Income Tax Payable,,0.0,264485.0,418000.0,0.0,
Accounts Payable,133221000.0,151622000.0,,198187000.0,,214332000.0
Total Assets,340812000.0,389530000.0,117829906.0,473039000.0,,
Total Non Current Assets,144599000.0,128664000.0,117809450.0,114059000.0,,
Other Non Current Assets,,,117809450.0,,116160281.0,
Non Current Prepaid Assets,273000.0,270000.0,,3748000.0,,361000.0
Non Current Deferred Assets,6533000.0,2899000.0,,0.0,,
Non Current Deferred Taxes Assets,6533000.0,2899000.0,,0.0,,
Non Current Accounts Receivable,230000.0,747000.0,,,,
Goodwill And Other Intangible Assets,102497000.0,106472000.0,,98667000.0,,103830000.0
Other Intangible Assets,13381000.0,17356000.0,,18764000.0,,23927000.0
Goodwill,89116000.0,89116000.0,,79903000.0,,79903000.0
Net PPE,35066000.0,18276000.0,,11644000.0,,18988000.0
Accumulated Depreciation,-44795000.0,-44321000.0,,-48550000.0,,-44233000.0
Gross PPE,79861000.0,62597000.0,,60194000.0,,63221000.0
Leases,908000.0,1680000.0,,1680000.0,,1597000.0
Construction In Progress,0.0,154000.0,,154000.0,,104000.0
Other Properties,34612000.0,17343000.0,,21277000.0,,25575000.0
Machinery Furniture Equipment,44341000.0,43420000.0,,37083000.0,,35945000.0
Properties,0.0,0.0,,0.0,,0.0
Current Assets,196213000.0,260866000.0,20456.0,358980000.0,,
Other Current Assets,,,,-1000.0,,
Prepaid Assets,5298000.0,8299000.0,2500.0,9128000.0,,
Inventory,97429000.0,146763000.0,,249439000.0,,141661000.0
Finished Goods,97429000.0,146763000.0,,249439000.0,,141661000.0
Receivables,92357000.0,104939000.0,,98944000.0,,112808000.0
Duefrom Related Parties Current,,0.0,,245000.0,,1476000.0
Accounts Receivable,92357000.0,104939000.0,,98699000.0,,111332000.0
Allowance For Doubtful Accounts Receivable,-1470000.0,-1528000.0,,-2365000.0,,-4286000.0
Gross Accounts Receivable,93827000.0,106467000.0,,101064000.0,,115618000.0
Cash Cash Equivalents And Short Term Investments,1129000.0,865000.0,17956.0,1469000.0,,
Cash And Cash Equivalents,1129000.0,865000.0,17956.0,1469000.0,,
Cash Financial,1129000.0,865000.0,17956.0,,724410.0,
