,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-5347000.0,-3425000.0,-2762000.0
Total Unusual Items,5234000.0,-1462000.0,-411000.0
Total Unusual Items Excluding Goodwill,5234000.0,-1462000.0,-411000.0
Net Income From Continuing Operation Net Minority Interest,-535000.0,-4887000.0,-3657000.0
EBITDA,-113000.0,-4887000.0,-3173000.0
EBIT,-113000.0,-4887000.0,-3173000.0
Net Interest Income,-392000.0,0.0,
Interest Expense,422000.0,0.0,
Interest Income,30000.0,0.0,
Normalized Income,-5769000.0,-3425000.0,-3246000.0
Net Income From Continuing And Discontinued Operation,-535000.0,-4887000.0,-3657000.0
Total Expenses,5262000.0,3160000.0,3173000.0
Total Operating Income As Reported,-5262000.0,-3160000.0,-3173000.0
Diluted Average Shares,67893881.0,72418316.0,72418316.0
Basic Average Shares,66973906.0,72418316.0,72418316.0
Diluted EPS,-0.09,-0.067483,-0.050498
Basic EPS,-0.01,-0.067483,-0.050498
Diluted NI Availto Com Stockholders,-535000.0,-4887000.0,-3657000.0
Net Income Common Stockholders,-535000.0,-4887000.0,-3657000.0
Net Income,-535000.0,-4887000.0,-3657000.0
Net Income Including Noncontrolling Interests,-535000.0,-4887000.0,-3657000.0
Net Income Continuous Operations,-535000.0,-4887000.0,-3657000.0
Pretax Income,-535000.0,-4887000.0,-3657000.0
Other Income Expense,5119000.0,-1727000.0,-484000.0
Other Non Operating Income Expenses,-115000.0,-265000.0,-73000.0
Gain On Sale Of Security,5234000.0,-1462000.0,-411000.0
Net Non Operating Interest Income Expense,-392000.0,0.0,
Interest Expense Non Operating,422000.0,0.0,
Interest Income Non Operating,30000.0,0.0,
Operating Income,-5262000.0,-3160000.0,-3173000.0
Operating Expense,5262000.0,3160000.0,3173000.0
Research And Development,90000.0,111000.0,283000.0
Selling General And Administration,5172000.0,3049000.0,2890000.0
General And Administrative Expense,5172000.0,3049000.0,2890000.0
Other Gand A,5172000.0,3049000.0,2890000.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
