,2024-09-30,2023-09-30,2023-03-31,2022-09-30,2021-10-31,2021-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.0,,
Net Income From Continuing Operation Net Minority Interest,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Interest Income,468961.0,826638.0,882263.0,555856.0,,
Interest Income,468961.0,826638.0,882263.0,555856.0,,
Normalized Income,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Income From Continuing And Discontinued Operation,100986657.0,8251052.0,6967641.0,-17410513.0,,
Diluted Average Shares,25246664.0,25206605.0,,8837824.0,9065775.0,
Basic Average Shares,,25206605.0,,8837824.0,9065775.0,8859387.0
Diluted EPS,,1.67,,-1.97,0.53,4.14
Basic EPS,,1.67,,-1.97,0.53,4.14
Diluted NI Availto Com Stockholders,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Income Common Stockholders,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Income,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Income Including Noncontrolling Interests,100986657.0,8251052.0,6967641.0,-17410513.0,,
Net Income Continuous Operations,100986657.0,8251052.0,6967641.0,-17410513.0,,
Pretax Income,100986657.0,8251052.0,6967641.0,-17410513.0,,
Gain On Sale Of Security,20718488.0,25149911.0,23360805.0,12079339.0,,
Operating Expense,3336553.0,1785874.0,1326254.0,1260949.0,,
Other Operating Expenses,1588512.0,587941.0,427099.0,418744.0,,
Selling General And Administration,1748041.0,1197933.0,899155.0,842205.0,,
General And Administrative Expense,1748041.0,1197933.0,899155.0,842205.0,,
Total Revenue,104323210.0,10036926.0,8293895.0,-16149564.0,,
Operating Revenue,104323210.0,10036926.0,8293895.0,-16149564.0,,
