,2023-12-31,2022-12-31
Ordinary Shares Number,7807400.0,7807400.0
Share Issued,7807400.0,7807400.0
Net Debt,147796.0,151326.0
Total Debt,217614.0,151326.0
Tangible Book Value,-143597.0,-56326.0
Invested Capital,74017.0,95000.0
Working Capital,-228597.0,-151326.0
Net Tangible Assets,-143597.0,-56326.0
Common Stock Equity,-143597.0,-56326.0
Total Capitalization,-143597.0,-56326.0
Total Equity Gross Minority Interest,-143597.0,-56326.0
Stockholders Equity,-143597.0,-56326.0
Retained Earnings,-168597.0,-81326.0
Additional Paid In Capital,24827.0,24827.0
Capital Stock,173.0,173.0
Common Stock,173.0,173.0
Total Liabilities Net Minority Interest,731861.0,151326.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,731861.0,151326.0
Current Debt And Capital Lease Obligation,217614.0,151326.0
Current Debt,217614.0,151326.0
Other Current Borrowings,217614.0,151326.0
Payables And Accrued Expenses,514247.0,0.0
Current Accrued Expenses,24247.0,0.0
Payables,490000.0,
Dueto Related Parties Current,490000.0,0.0
Total Assets,588264.0,95000.0
Total Non Current Assets,85000.0,95000.0
Non Current Deferred Assets,85000.0,95000.0
Current Assets,503264.0,0.0
Restricted Cash,425000.0,
Prepaid Assets,8446.0,0.0
Cash Cash Equivalents And Short Term Investments,69818.0,0.0
Cash And Cash Equivalents,69818.0,0.0
Cash Financial,69818.0,0.0
