,2023-12-31,2022-12-31
Total Debt,4223000.0,4133000.0
Tangible Book Value,-203105000.0,-170034000.0
Invested Capital,-203105000.0,-170034000.0
Working Capital,93016000.0,19594000.0
Net Tangible Assets,-203105000.0,-170034000.0
Capital Lease Obligations,4223000.0,4133000.0
Common Stock Equity,-203105000.0,-170034000.0
Total Capitalization,-203105000.0,-170034000.0
Total Equity Gross Minority Interest,-203105000.0,-170034000.0
Stockholders Equity,-203105000.0,-170034000.0
Gains Losses Not Affecting Retained Earnings,137000.0,0.0
Other Equity Adjustments,137000.0,
Retained Earnings,-229664000.0,-185565000.0
Additional Paid In Capital,26421000.0,15530000.0
Capital Stock,1000.0,1000.0
Common Stock,1000.0,1000.0
Total Liabilities Net Minority Interest,313145000.0,205561000.0
Total Non Current Liabilities Net Minority Interest,302540000.0,196688000.0
Preferred Securities Outside Stock Equity,261713000.0,183034000.0
Derivative Product Liabilities,37573000.0,10497000.0
Non Current Deferred Liabilities,255000.0,0.0
Non Current Deferred Revenue,255000.0,0.0
Long Term Debt And Capital Lease Obligation,2999000.0,3157000.0
Long Term Capital Lease Obligation,2999000.0,3157000.0
Current Liabilities,10605000.0,8873000.0
Other Current Liabilities,462000.0,184000.0
Current Deferred Liabilities,87000.0,0.0
Current Deferred Revenue,87000.0,0.0
Current Debt And Capital Lease Obligation,1224000.0,976000.0
Current Capital Lease Obligation,1224000.0,976000.0
Pensionand Other Post Retirement Benefit Plans Current,5475000.0,5381000.0
Payables And Accrued Expenses,3357000.0,2332000.0
Current Accrued Expenses,2191000.0,762000.0
Payables,1166000.0,1570000.0
Dueto Related Parties Current,0.0,1140000.0
Accounts Payable,1166000.0,430000.0
Total Assets,110040000.0,35527000.0
Total Non Current Assets,6419000.0,7060000.0
Other Non Current Assets,221000.0,193000.0
Net PPE,6198000.0,6867000.0
Accumulated Depreciation,-4420000.0,-3374000.0
Gross PPE,10618000.0,10241000.0
Leases,951000.0,951000.0
Construction In Progress,167000.0,182000.0
Other Properties,8108000.0,7556000.0
Machinery Furniture Equipment,1392000.0,1552000.0
Properties,0.0,0.0
Current Assets,103621000.0,28467000.0
Other Current Assets,275000.0,250000.0
Prepaid Assets,908000.0,542000.0
Inventory,1245000.0,0.0
Finished Goods,408000.0,
Work In Process,34000.0,
Raw Materials,803000.0,
Receivables,4448000.0,0.0
Accounts Receivable,4448000.0,0.0
Allowance For Doubtful Accounts Receivable,-46000.0,
Gross Accounts Receivable,4494000.0,
Cash Cash Equivalents And Short Term Investments,96745000.0,27675000.0
Other Short Term Investments,70179000.0,0.0
Cash And Cash Equivalents,26566000.0,27675000.0
