,2022-12-31,2021-12-31
Ordinary Shares Number,46662091.0,46662091.0
Share Issued,46662091.0,46662091.0
Total Debt,131077.0,74332.0
Tangible Book Value,-519825.0,-604495.0
Invested Capital,-519825.0,-604495.0
Working Capital,-555181.0,-656594.0
Net Tangible Assets,-519825.0,-604495.0
Capital Lease Obligations,131077.0,74332.0
Common Stock Equity,-519825.0,-604495.0
Total Capitalization,-519825.0,-604495.0
Total Equity Gross Minority Interest,-519825.0,-604495.0
Stockholders Equity,-519825.0,-604495.0
Retained Earnings,-32614251.0,-32182245.0
Additional Paid In Capital,32069695.0,31553044.0
Capital Stock,24731.0,24706.0
Common Stock,24731.0,24706.0
Total Liabilities Net Minority Interest,809009.0,656823.0
Total Non Current Liabilities Net Minority Interest,3442.0,0.0
Long Term Debt And Capital Lease Obligation,3442.0,0.0
Long Term Capital Lease Obligation,3442.0,0.0
Current Liabilities,805567.0,656823.0
Current Deferred Liabilities,300000.0,500000.0
Current Deferred Revenue,300000.0,500000.0
Current Debt And Capital Lease Obligation,127635.0,74332.0
Current Capital Lease Obligation,127635.0,74332.0
Payables And Accrued Expenses,377932.0,82491.0
Payables,377932.0,82491.0
Other Payable,11028.0,11028.0
Dueto Related Parties Current,366904.0,71463.0
Total Assets,289184.0,52328.0
Total Non Current Assets,38798.0,52099.0
Net PPE,38798.0,52099.0
Accumulated Depreciation,-295856.0,-262874.0
Gross PPE,334654.0,314973.0
Other Properties,32458.0,12777.0
Machinery Furniture Equipment,302196.0,302196.0
Current Assets,250386.0,229.0
Cash Cash Equivalents And Short Term Investments,250386.0,229.0
Cash And Cash Equivalents,250386.0,229.0
Cash Financial,250386.0,229.0
