,2024-06-30,2023-06-30,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-06-30
Free Cash Flow,55590000.0,2563000.0,-1208635.0,-83604000.0,,,
Repayment Of Debt,-1134737000.0,-1100206000.0,0.0,-1351003000.0,,,
Issuance Of Debt,1081428000.0,1097049000.0,471599.0,1428664000.0,,,
Issuance Of Capital Stock,2130000.0,0.0,0.0,0.0,,,
Capital Expenditure,-183000.0,-825000.0,,-50000.0,,-650000.0,
Interest Paid Supplemental Data,12247000.0,11425000.0,,2878000.0,,2079000.0,
Income Tax Paid Supplemental Data,444000.0,648000.0,,9345000.0,,6540000.0,
End Cash Position,1129000.0,865000.0,,1469000.0,,4028000.0,
Beginning Cash Position,865000.0,1469000.0,,4028000.0,,1331000.0,
Effect Of Exchange Rate Changes,-2000.0,-11000.0,,7000.0,,15000.0,
Changes In Cash,266000.0,-593000.0,,-2566000.0,,2682000.0,
Financing Cash Flow,-55390000.0,-3157000.0,502181.0,81038000.0,,,
Cash Flow From Continuing Financing Activities,-55390000.0,-3157000.0,502181.0,81038000.0,,,
Net Other Financing Charges,-4211000.0,,30582.0,3377000.0,-407252.0,,
Proceeds From Stock Option Exercised,,,0.0,,4120000.0,,
Cash Dividends Paid,,,,0.0,,-6811000.0,0.0
Common Stock Dividend Paid,,,,0.0,,-6811000.0,0.0
Net Common Stock Issuance,2130000.0,0.0,0.0,0.0,,,
Common Stock Issuance,2130000.0,0.0,0.0,0.0,,,
Net Issuance Payments Of Debt,-53309000.0,-3157000.0,471599.0,77661000.0,,,
Net Short Term Debt Issuance,-36000000.0,-7596000.0,471599.0,82222000.0,,,
Short Term Debt Payments,-36000000.0,-7596000.0,,-1346442000.0,,-1310333000.0,
Short Term Debt Issuance,,1089453000.0,471599.0,1428664000.0,0.0,,
Net Long Term Debt Issuance,-17309000.0,4439000.0,0.0,-4561000.0,,,
Long Term Debt Payments,-1098737000.0,-1092610000.0,0.0,-4561000.0,,,
Long Term Debt Issuance,1081428000.0,1097049000.0,,0.0,,0.0,
Investing Cash Flow,-117000.0,-824000.0,0.0,-50000.0,,,
Cash Flow From Continuing Investing Activities,-117000.0,-824000.0,0.0,-50000.0,,,
Net Other Investing Changes,66000.0,,,,,,
Net Investment Purchase And Sale,,,0.0,,-116150000.0,,
Purchase Of Investment,,,0.0,,-116150000.0,,
Net Business Purchase And Sale,0.0,1000.0,,0.0,,-65409000.0,
Sale Of Business,0.0,1000.0,,0.0,,,
Purchase Of Business,,,,0.0,,-65409000.0,-2561000.0
Capital Expenditure Reported,-183000.0,-825000.0,,-50000.0,,-650000.0,
Operating Cash Flow,55773000.0,3388000.0,-1208635.0,-83554000.0,,,
Cash Flow From Continuing Operating Activities,55773000.0,3388000.0,-1208635.0,-83554000.0,,,
Change In Working Capital,45979000.0,28556000.0,1663896.0,-119916000.0,,,
Change In Other Working Capital,517000.0,-1533000.0,,-1867000.0,,4453000.0,
Change In Other Current Liabilities,16968000.0,-3893000.0,,-4583000.0,,664000.0,
Change In Other Current Assets,-13912000.0,8536000.0,,-931000.0,,1163000.0,
Change In Payables And Accrued Expense,-18824000.0,-69902000.0,1467230.0,-18126000.0,,,
Change In Accrued Expense,-423000.0,-952000.0,1202745.0,-1980000.0,,,
Change In Payable,-18401000.0,-68950000.0,264485.0,-16146000.0,,,
Change In Account Payable,-18401000.0,-68950000.0,,-16146000.0,,18686000.0,
Change In Tax Payable,,,264485.0,,0.0,,
Change In Income Tax Payable,,,264485.0,,0.0,,
Change In Prepaid Assets,,,196666.0,,200834.0,,
Change In Inventory,49334000.0,99729000.0,,-107778000.0,,-8617000.0,
Change In Receivables,11896000.0,-4381000.0,,13369000.0,,8210000.0,
Changes In Account Receivables,11896000.0,-4626000.0,,12138000.0,,8053000.0,
Other Non Cash Items,861000.0,167000.0,-1649169.0,165000.0,,,
Stock Based Compensation,1386000.0,216000.0,,0.0,,,
Asset Impairment Charge,687000.0,11398000.0,,496000.0,,225000.0,
Deferred Tax,-3634000.0,-8171000.0,,-1177000.0,,1543000.0,
Deferred Income Tax,-3634000.0,-8171000.0,,-1177000.0,,1543000.0,
Depreciation Amortization Depletion,5880000.0,6629000.0,,8259000.0,,11395000.0,
Depreciation And Amortization,5880000.0,6629000.0,,8259000.0,,11395000.0,
Amortization Cash Flow,3976000.0,4408000.0,,5163000.0,,5772000.0,
Amortization Of Intangibles,3976000.0,4408000.0,,5163000.0,,5772000.0,
Depreciation,1904000.0,2221000.0,,3096000.0,,5623000.0,
Operating Gains Losses,33000.0,-3000.0,-4166900.0,,-4297300.0,,
Gain Loss On Investment Securities,,,-4166900.0,,-4297300.0,,
Gain Loss On Sale Of PPE,33000.0,-3000.0,,0.0,,87000.0,
Net Income From Continuing Operations,4581000.0,-35404000.0,2943538.0,28619000.0,,,
