,2023-12-31,2022-12-31
Free Cash Flow,12543000.0,17254000.0
Issuance Of Capital Stock,0.0,10500000.0
Capital Expenditure,-269000.0,-88000.0
Interest Paid Supplemental Data,4005000.0,1269000.0
Income Tax Paid Supplemental Data,2047000.0,1670000.0
End Cash Position,316767000.0,98663000.0
Beginning Cash Position,98663000.0,123877000.0
Changes In Cash,218104000.0,-25214000.0
Financing Cash Flow,159071000.0,-177419000.0
Cash Flow From Continuing Financing Activities,159071000.0,-177419000.0
Net Common Stock Issuance,0.0,10500000.0
Common Stock Issuance,0.0,10500000.0
Investing Cash Flow,46221000.0,134863000.0
Cash Flow From Continuing Investing Activities,46221000.0,134863000.0
Net Other Investing Changes,-124000.0,-476000.0
Net Investment Purchase And Sale,30565000.0,171700000.0
Sale Of Investment,53966000.0,675277000.0
Purchase Of Investment,-23401000.0,-503577000.0
Net PPE Purchase And Sale,-269000.0,-88000.0
Purchase Of PPE,-269000.0,-88000.0
Operating Cash Flow,12812000.0,17342000.0
Cash Flow From Continuing Operating Activities,12812000.0,17342000.0
Change In Working Capital,963000.0,5143000.0
Change In Payables And Accrued Expense,793000.0,1166000.0
Change In Payable,793000.0,1166000.0
Change In Account Payable,793000.0,1166000.0
Change In Receivables,170000.0,3977000.0
Changes In Account Receivables,170000.0,3977000.0
Other Non Cash Items,12000.0,18000.0
Unrealized Gain Loss On Investment Securities,-7000.0,63000.0
Deferred Tax,-99000.0,-169000.0
Deferred Income Tax,-99000.0,-169000.0
Depreciation Amortization Depletion,491000.0,501000.0
Depreciation And Amortization,491000.0,501000.0
Depreciation,491000.0,501000.0
Operating Gains Losses,1168000.0,-25000.0
Gain Loss On Investment Securities,389000.0,0.0
Net Income From Continuing Operations,8831000.0,8281000.0
