,2023-12-31,2022-12-31
Ordinary Shares Number,12469882.0,12469882.0
Share Issued,12469882.0,12469882.0
Tangible Book Value,-152199029.0,-93088447.0
Invested Capital,-152199029.0,-93088447.0
Working Capital,-9853543.0,-858489.0
Net Tangible Assets,0.0,0.0
Common Stock Equity,-152199029.0,-93088447.0
Total Capitalization,-152199029.0,-93088447.0
Total Equity Gross Minority Interest,-152199029.0,-93088447.0
Stockholders Equity,0.0,0.0
Gains Losses Not Affecting Retained Earnings,-4943143.0,-5078841.0
Retained Earnings,-147255886.0,-101183390.0
Total Partnership Capital,-152199029.0,-93088447.0
Limited Partnership Capital,0.0,13173784.0
Total Liabilities Net Minority Interest,184942233.0,108857381.0
Total Non Current Liabilities Net Minority Interest,168301940.0,107705213.0
Other Non Current Liabilities,11594661.0,25616163.0
Preferred Securities Outside Stock Equity,152464599.0,78241267.0
Long Term Provisions,4242680.0,3847783.0
Current Liabilities,16640293.0,1152168.0
Other Current Liabilities,15061198.0,882046.0
Payables And Accrued Expenses,1579095.0,270122.0
Payables,1579095.0,270122.0
Dueto Related Parties Current,525276.0,0.0
Accounts Payable,1053819.0,270122.0
Total Assets,32743204.0,15768934.0
Total Non Current Assets,25956454.0,15475255.0
Non Current Accounts Receivable,4425353.0,3007122.0
Net PPE,21531101.0,12468133.0
Accumulated Depreciation,-23028863.0,-23000210.0
Gross PPE,44559964.0,35468343.0
Other Properties,44529178.0,35437557.0
Machinery Furniture Equipment,11863.0,11863.0
Buildings And Improvements,18923.0,18923.0
Current Assets,6786750.0,293679.0
Prepaid Assets,27485.0,0.0
Cash Cash Equivalents And Short Term Investments,6759265.0,293679.0
Cash And Cash Equivalents,6759265.0,293679.0
Cash Financial,6759265.0,293679.0
