,2023-12-31,2022-12-31
Free Cash Flow,-630475.0,0.0
Repurchase Of Capital Stock,-23282936.0,0.0
Issuance Of Debt,165000.0,0.0
Issuance Of Capital Stock,0.0,71581750.0
End Cash Position,28560.0,659035.0
Beginning Cash Position,659035.0,0.0
Changes In Cash,-630475.0,659035.0
Financing Cash Flow,-23117936.0,71039035.0
Cash Flow From Continuing Financing Activities,-23117936.0,71039035.0
Net Other Financing Charges,,-542715.0
Net Common Stock Issuance,-23282936.0,71581750.0
Common Stock Payments,-23282936.0,0.0
Common Stock Issuance,0.0,71581750.0
Net Issuance Payments Of Debt,165000.0,0.0
Net Short Term Debt Issuance,165000.0,0.0
Short Term Debt Issuance,165000.0,0.0
Investing Cash Flow,23117936.0,-70380000.0
Cash Flow From Continuing Investing Activities,23117936.0,-70380000.0
Net Other Investing Changes,23117936.0,-70380000.0
Operating Cash Flow,-630475.0,0.0
Cash Flow From Continuing Operating Activities,-630475.0,0.0
Change In Working Capital,45662.0,80806.0
Change In Payables And Accrued Expense,-34916.0,195958.0
Change In Payable,-34916.0,195958.0
Change In Account Payable,-34916.0,161121.0
Change In Prepaid Assets,80578.0,-115152.0
Change In Receivables,,-38228.0
Other Non Cash Items,-3580311.0,-38228.0
Net Income From Continuing Operations,2904174.0,-42578.0
