,2023-12-31,2022-12-31
Ordinary Shares Number,19111636.0,19111636.0
Share Issued,19111636.0,19111636.0
Tangible Book Value,-99626513.0,-75305432.0
Invested Capital,-99626513.0,-75305432.0
Working Capital,-3925028.0,16138074.0
Net Tangible Assets,-99626513.0,-75305432.0
Common Stock Equity,-99626513.0,-75305432.0
Total Capitalization,-99626513.0,-75305432.0
Total Equity Gross Minority Interest,-99626513.0,-75305432.0
Stockholders Equity,-99626513.0,-75305432.0
Retained Earnings,-105094521.0,-80349901.0
Additional Paid In Capital,5468006.0,5044467.0
Capital Stock,2.0,2.0
Common Stock,2.0,2.0
Total Liabilities Net Minority Interest,102622079.0,95788488.0
Total Non Current Liabilities Net Minority Interest,95701485.0,91443506.0
Preferred Securities Outside Stock Equity,94178404.0,90137751.0
Derivative Product Liabilities,988049.0,814364.0
Non Current Accrued Expenses,130041.0,86400.0
Tradeand Other Payables Non Current,404991.0,404991.0
Current Liabilities,6920594.0,4344982.0
Pensionand Other Post Retirement Benefit Plans Current,277500.0,132033.0
Payables And Accrued Expenses,6643094.0,4212949.0
Current Accrued Expenses,3221254.0,2082102.0
Payables,3421840.0,2130847.0
Accounts Payable,3421840.0,2130847.0
Total Assets,2995566.0,20483056.0
Total Non Current Assets,0.0,0.0
Current Assets,2995566.0,20483056.0
Other Current Assets,36907.0,33746.0
Cash Cash Equivalents And Short Term Investments,2958659.0,20449310.0
Cash And Cash Equivalents,2958659.0,20449310.0
