,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,4553150.0,7110930.0,5256250.0
Share Issued,4553150.0,7110930.0,5256250.0
Net Debt,1039287.0,,183140.0
Total Debt,1039626.0,,200000.0
Tangible Book Value,27664909.0,52870203.0,20604.0
Invested Capital,28704535.0,52870203.0,220604.0
Working Capital,-1914142.0,-25130.0,20604.0
Net Tangible Assets,27664909.0,52870203.0,20604.0
Common Stock Equity,27664909.0,52870203.0,20604.0
Total Capitalization,27664909.0,52870203.0,20604.0
Total Equity Gross Minority Interest,27664909.0,52870203.0,20604.0
Stockholders Equity,27664909.0,52870203.0,20604.0
Retained Earnings,-4295522.0,159672.0,-4396.0
Additional Paid In Capital,0.0,5138905.0,24856.0
Capital Stock,31960431.0,47571626.0,144.0
Common Stock,31960431.0,47571626.0,144.0
Total Liabilities Net Minority Interest,4442565.0,2830656.0,248240.0
Total Non Current Liabilities Net Minority Interest,2525896.0,2525896.0,0.0
Tradeand Other Payables Non Current,2525896.0,2525896.0,
Current Liabilities,1916669.0,304760.0,248240.0
Current Debt And Capital Lease Obligation,1039626.0,,200000.0
Current Debt,1039626.0,,200000.0
Other Current Borrowings,1039626.0,,200000.0
Current Notes Payable,,0.0,200000.0
Payables And Accrued Expenses,877043.0,304760.0,48240.0
Payables,877043.0,304760.0,48240.0
Other Payable,,2525896.0,
Dueto Related Parties Current,97052.0,99846.0,300.0
Total Tax Payable,630946.0,64839.0,0.0
Income Tax Payable,353013.0,51753.0,
Accounts Payable,149045.0,140075.0,47940.0
Total Assets,32107474.0,55700859.0,268844.0
Total Non Current Assets,32104947.0,55421229.0,0.0
Other Non Current Assets,31960267.0,55421229.0,
Non Current Deferred Assets,144680.0,0.0,
Non Current Deferred Taxes Assets,144680.0,0.0,
Current Assets,2527.0,279630.0,268844.0
Current Deferred Assets,,0.0,251984.0
Restricted Cash,,55421229.0,0.0
Prepaid Assets,2188.0,222346.0,0.0
Cash Cash Equivalents And Short Term Investments,339.0,57284.0,16860.0
Cash And Cash Equivalents,339.0,57284.0,16860.0
Cash Financial,339.0,57284.0,16860.0
