,2023-12-31,2022-12-31
Free Cash Flow,-30142000.0,-32518000.0
Repurchase Of Capital Stock,0.0,-310000.0
Repayment Of Debt,-3750000.0,-39000.0
Issuance Of Debt,0.0,0.0
Issuance Of Capital Stock,0.0,50000000.0
Capital Expenditure,-983000.0,-516000.0
Interest Paid Supplemental Data,1734000.0,1628000.0
End Cash Position,34495000.0,68235000.0
Beginning Cash Position,68235000.0,51831000.0
Changes In Cash,-33740000.0,16404000.0
Financing Cash Flow,-2818000.0,49805000.0
Cash Flow From Continuing Financing Activities,-2818000.0,49805000.0
Proceeds From Stock Option Exercised,932000.0,154000.0
Net Preferred Stock Issuance,0.0,49690000.0
Preferred Stock Payments,0.0,-310000.0
Preferred Stock Issuance,0.0,50000000.0
Net Issuance Payments Of Debt,-3750000.0,-39000.0
Net Long Term Debt Issuance,-3750000.0,-39000.0
Long Term Debt Payments,-3750000.0,-39000.0
Long Term Debt Issuance,0.0,0.0
Investing Cash Flow,-1763000.0,-1399000.0
Cash Flow From Continuing Investing Activities,-1763000.0,-1399000.0
Net Other Investing Changes,-780000.0,-883000.0
Net PPE Purchase And Sale,-983000.0,-516000.0
Purchase Of PPE,-983000.0,-516000.0
Operating Cash Flow,-29159000.0,-32002000.0
Cash Flow From Continuing Operating Activities,-29159000.0,-32002000.0
Change In Working Capital,-3697000.0,-3884000.0
Change In Other Working Capital,-93000.0,95000.0
Change In Other Current Assets,113000.0,110000.0
Change In Payables And Accrued Expense,2475000.0,2119000.0
Change In Accrued Expense,2166000.0,1995000.0
Change In Payable,309000.0,124000.0
Change In Account Payable,309000.0,124000.0
Change In Prepaid Assets,-965000.0,-347000.0
Change In Inventory,-1794000.0,-1902000.0
Change In Receivables,-3433000.0,-3959000.0
Changes In Account Receivables,-2660000.0,-3063000.0
Other Non Cash Items,344000.0,348000.0
Stock Based Compensation,2678000.0,7928000.0
Depreciation Amortization Depletion,847000.0,497000.0
Depreciation And Amortization,847000.0,497000.0
Operating Gains Losses,133000.0,273000.0
Gain Loss On Investment Securities,-48000.0,175000.0
Net Income From Continuing Operations,-29464000.0,-37164000.0
