,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,101893121.0,102382241.0,105707852.0
Share Issued,101893121.0,102382241.0,105707852.0
Net Debt,,,1685.0
Total Debt,,,5975.0
Tangible Book Value,1838694945.0,1701873225.0,2187581365.0
Invested Capital,,,2187587340.0
Net Tangible Assets,1838694945.0,1701873225.0,2187581365.0
Common Stock Equity,1838694945.0,1701873225.0,2187581365.0
Total Capitalization,,,2187587340.0
Total Equity Gross Minority Interest,1838694945.0,1701873225.0,2187581365.0
Stockholders Equity,1838694945.0,1701873225.0,2187581365.0
Retained Earnings,-41217004.0,-300196864.0,73424325.0
Capital Stock,1879911949.0,2002070089.0,2114157040.0
Common Stock,1879911949.0,2002070089.0,2114157040.0
Total Liabilities Net Minority Interest,139153983.0,324221498.0,9177707.0
Derivative Product Liabilities,3709552.0,5267435.0,2948421.0
Long Term Debt And Capital Lease Obligation,,,5975.0
Payables,127904389.0,221447528.0,6223311.0
Other Payable,3052946.0,4497087.0,2925699.0
Accounts Payable,124851443.0,216950441.0,3297612.0
Total Assets,1977848928.0,2026094723.0,2196759072.0
Investments And Advances,1933902550.0,1881367108.0,2190128037.0
Investmentin Financial Assets,1933902550.0,1881367108.0,2190128037.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1931824010.0,1879499611.0,2190014533.0
Prepaid Assets,389582.0,14326.0,16439.0
Receivables,19322630.0,125305410.0,1714306.0
Cash And Cash Equivalents,3691166.0,2769879.0,4290.0
Cash Financial,3691166.0,2769879.0,4290.0
Cash Cash Equivalents And Federal Funds Sold,24234166.0,19407879.0,4900290.0
