,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,15920079.0,0.0
Tax Rate For Calcs,,0.21,0.0
Normalized EBITDA,,-23188300.0,-4248900.0
Total Unusual Items,,75809900.0,-54186400.0
Total Unusual Items Excluding Goodwill,,75809900.0,-54186400.0
Net Income From Continuing Operation Net Minority Interest,,50523600.0,-59096100.0
Reconciled Depreciation,,59100.0,6500.0
Reconciled Cost Of Revenue,,54100.0,0.0
EBITDA,,52621600.0,-58435300.0
EBIT,,52562500.0,-58441800.0
Net Interest Income,,-2038700.0,-654300.0
Interest Expense,,2038700.0,654300.0
Normalized Income,,-9366221.0,-4909700.0
Net Income From Continuing And Discontinued Operation,,50523600.0,-59096100.0
Total Expenses,,24717800.0,6378700.0
Total Operating Income As Reported,,-23247300.0,-6378700.0
Diluted Average Shares,100000000.0,136700583.0,136700583.0
Basic Average Shares,100000000.0,136700583.0,136700583.0
Diluted EPS,-0.58,0.369593,-0.432303
Basic EPS,-0.58,0.369593,-0.432303
Diluted NI Availto Com Stockholders,,50523600.0,-59096100.0
Net Income Common Stockholders,,50523600.0,-59096100.0
Net Income,,50523600.0,-59096100.0
Net Income Including Noncontrolling Interests,,50523600.0,-59096100.0
Net Income Continuous Operations,,50524000.0,-59096100.0
Tax Provision,,-200.0,0.0
Pretax Income,,50523800.0,-59096100.0
Other Income Expense,,75809900.0,-52063100.0
Other Non Operating Income Expenses,,,2123300.0
Gain On Sale Of Security,,75809900.0,-54186400.0
Net Non Operating Interest Income Expense,,-2038700.0,-654300.0
Interest Expense Non Operating,,2038700.0,654300.0
Operating Income,,-23247300.0,-6378700.0
Operating Expense,,24663300.0,6378700.0
Depreciation Amortization Depletion Income Statement,,58700.0,6500.0
Depreciation And Amortization In Income Statement,,58700.0,6500.0
Research And Development,,13633100.0,2571300.0
Selling General And Administration,,10971500.0,3800900.0
Selling And Marketing Expense,,625900.0,381700.0
General And Administrative Expense,,10345600.0,3419200.0
Other Gand A,,10345600.0,3419200.0
Gross Profit,,1416000.0,0.0
Cost Of Revenue,,54500.0,0.0
Total Revenue,,1470500.0,0.0
Operating Revenue,,1470500.0,0.0
