,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-1112580.0,-221958.0,1014825.0,-128250.0,
Tax Rate For Calcs,0.21,0.171,0.075,0.27,
Normalized EBITDA,1373000.0,-8352000.0,7147000.0,5546000.0,
Total Unusual Items,-5298000.0,-1298000.0,13531000.0,-475000.0,
Total Unusual Items Excluding Goodwill,-5298000.0,-1298000.0,13531000.0,-475000.0,
Net Income From Continuing Operation Net Minority Interest,-8486000.0,-12582000.0,17367000.0,1508000.0,
Reconciled Depreciation,3029000.0,5012000.0,1729000.0,1398000.0,
Reconciled Cost Of Revenue,64983000.0,77763000.0,66787000.0,50675000.0,
EBITDA,-3925000.0,-9650000.0,20678000.0,5071000.0,
EBIT,-6954000.0,-14662000.0,18949000.0,3673000.0,
Net Interest Income,-500000.0,-154000.0,46000.0,-186000.0,
Interest Expense,557000.0,520000.0,164000.0,239000.0,
Interest Income,57000.0,366000.0,210000.0,53000.0,
Normalized Income,-4300580.0,-11505958.0,4850825.0,1854750.0,
Net Income From Continuing And Discontinued Operation,-8486000.0,-12582000.0,17367000.0,1508000.0,
Total Expenses,102990000.0,127076000.0,101477000.0,81394000.0,
Total Operating Income As Reported,-6729000.0,-14970000.0,17286000.0,3725000.0,
Diluted Average Shares,14208000.0,14065000.0,14184000.0,14340000.0,
Basic Average Shares,14208000.0,14065000.0,14014000.0,14189000.0,
Diluted EPS,-0.6,-0.89,1.22,0.11,
Basic EPS,-0.6,-0.89,1.24,0.11,
Diluted NI Availto Com Stockholders,-8486000.0,-12582000.0,17367000.0,1508000.0,
Net Income Common Stockholders,-8486000.0,-12582000.0,17367000.0,1508000.0,
Net Income,-8486000.0,-12582000.0,17367000.0,1508000.0,
Net Income Including Noncontrolling Interests,-8486000.0,-12582000.0,17367000.0,1508000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-11816000.0
Net Income Continuous Operations,-8486000.0,-12582000.0,17367000.0,1508000.0,
Tax Provision,975000.0,-2600000.0,1418000.0,1926000.0,
Pretax Income,-7511000.0,-15182000.0,18785000.0,3434000.0,
Other Income Expense,-5235000.0,-1267000.0,13918000.0,-191000.0,
Other Non Operating Income Expenses,63000.0,31000.0,387000.0,284000.0,
Special Income Charges,-4953000.0,-1209000.0,12465000.0,-86000.0,
Gain On Sale Of Ppe,2197000.0,0.0,12465000.0,0.0,
Gain On Sale Of Business,,,0.0,0.0,-2793000.0
Impairment Of Capital Assets,6800000.0,544000.0,0.0,0.0,
Restructuring And Mergern Acquisition,350000.0,665000.0,0.0,86000.0,
Earnings From Equity Interest,,,,,0.0
Gain On Sale Of Security,-345000.0,-89000.0,1066000.0,-389000.0,
Net Non Operating Interest Income Expense,-500000.0,-154000.0,46000.0,-186000.0,
Total Other Finance Cost,,,-1499000.0,291000.0,-162000.0
Interest Expense Non Operating,557000.0,520000.0,164000.0,239000.0,
Interest Income Non Operating,57000.0,366000.0,210000.0,53000.0,
Operating Income,-1776000.0,-13761000.0,4821000.0,3811000.0,
Operating Expense,38007000.0,49313000.0,34690000.0,30719000.0,
Research And Development,4193000.0,7311000.0,6390000.0,5979000.0,
Selling General And Administration,33814000.0,42002000.0,28300000.0,24740000.0,
Gross Profit,36231000.0,35552000.0,39511000.0,34530000.0,
Cost Of Revenue,64983000.0,77763000.0,66787000.0,50675000.0,
Total Revenue,101214000.0,113315000.0,106298000.0,85205000.0,
Operating Revenue,101214000.0,113315000.0,106298000.0,85205000.0,
