,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-3231000.0,-4194000.0
Total Unusual Items,30000.0,377000.0
Total Unusual Items Excluding Goodwill,30000.0,377000.0
Net Income From Continuing Operation Net Minority Interest,-3789000.0,-4381000.0
Reconciled Depreciation,14000.0,429000.0
Reconciled Cost Of Revenue,0.0,0.0
EBITDA,-3201000.0,-3817000.0
EBIT,-3215000.0,-4246000.0
Net Interest Income,-574000.0,-135000.0
Interest Expense,574000.0,135000.0
Normalized Income,-3819000.0,-4758000.0
Net Income From Continuing And Discontinued Operation,-3789000.0,-4381000.0
Total Expenses,3252000.0,4652000.0
Rent Expense Supplemental,233000.0,250000.0
Total Operating Income As Reported,-3329000.0,-4654000.0
Diluted Average Shares,7870251.0,7870251.0
Basic Average Shares,7870251.0,7870251.0
Diluted EPS,-0.481433,-0.556653
Basic EPS,-0.481433,-0.556653
Diluted NI Availto Com Stockholders,-3789000.0,-4381000.0
Net Income Common Stockholders,-3789000.0,-4381000.0
Net Income,-3789000.0,-4381000.0
Net Income Including Noncontrolling Interests,-3789000.0,-4381000.0
Net Income Continuous Operations,-3789000.0,-4381000.0
Tax Provision,0.0,0.0
Pretax Income,-3789000.0,-4381000.0
Other Income Expense,37000.0,374000.0
Other Non Operating Income Expenses,7000.0,-3000.0
Special Income Charges,30000.0,-174000.0
Gain On Sale Of Ppe,166000.0,309000.0
Other Special Charges,59000.0,449000.0
Write Off,-2000.0,34000.0
Impairment Of Capital Assets,79000.0,0.0
Gain On Sale Of Security,,551000.0
Net Non Operating Interest Income Expense,-574000.0,-135000.0
Interest Expense Non Operating,574000.0,135000.0
Operating Income,-3252000.0,-4620000.0
Operating Expense,3252000.0,4652000.0
Depreciation Amortization Depletion Income Statement,0.0,45000.0
Depreciation And Amortization In Income Statement,0.0,45000.0
Research And Development,1272000.0,2926000.0
Selling General And Administration,1980000.0,1681000.0
Selling And Marketing Expense,65000.0,20000.0
General And Administrative Expense,1915000.0,1661000.0
Other Gand A,920000.0,417000.0
Rent And Landing Fees,233000.0,250000.0
Salaries And Wages,762000.0,994000.0
Gross Profit,0.0,32000.0
Cost Of Revenue,0.0,0.0
Total Revenue,0.0,32000.0
Operating Revenue,0.0,32000.0
