,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-51961000.0,-37722000.0
Net Income From Continuing Operation Net Minority Interest,-51985000.0,-37845000.0
Reconciled Depreciation,19000.0,10000.0
EBITDA,-51961000.0,-37722000.0
EBIT,-51980000.0,-37732000.0
Net Interest Income,1314000.0,-108000.0
Interest Expense,0.0,112000.0
Interest Income,1314000.0,4000.0
Normalized Income,-51985000.0,-37845000.0
Net Income From Continuing And Discontinued Operation,-51985000.0,-37845000.0
Total Expenses,39889000.0,37656000.0
Total Operating Income As Reported,-39889000.0,-37656000.0
Diluted Average Shares,15440460.0,15440460.0
Basic Average Shares,15440460.0,15440460.0
Diluted EPS,-3.37,-2.451028
Basic EPS,-3.37,-2.451028
Diluted NI Availto Com Stockholders,-51985000.0,-37845000.0
Net Income Common Stockholders,-51985000.0,-37845000.0
Net Income,-51985000.0,-37845000.0
Net Income Including Noncontrolling Interests,-51985000.0,-37845000.0
Net Income Continuous Operations,-51985000.0,-37845000.0
Tax Provision,5000.0,1000.0
Pretax Income,-51980000.0,-37844000.0
Other Income Expense,-13405000.0,-80000.0
Other Non Operating Income Expenses,-13405000.0,-80000.0
Net Non Operating Interest Income Expense,1314000.0,-108000.0
Interest Expense Non Operating,0.0,112000.0
Interest Income Non Operating,1314000.0,4000.0
Operating Income,-39889000.0,-37656000.0
Operating Expense,39889000.0,37656000.0
Research And Development,30617000.0,31312000.0
Selling General And Administration,9272000.0,6344000.0
General And Administrative Expense,9272000.0,6344000.0
Other Gand A,3452000.0,2544000.0
Salaries And Wages,5820000.0,3800000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
