,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,2928095.0,-14076834.0,-8751736.0
Total Unusual Items,-52568382.0,-6215.0,7005446.0
Total Unusual Items Excluding Goodwill,-52568382.0,-6215.0,7005446.0
Net Income From Continuing Operation Net Minority Interest,-110088241.0,-16421807.0,-5165892.0
Reconciled Depreciation,2570725.0,1269177.0,2039083.0
Reconciled Cost Of Revenue,9455805.0,7073391.0,4889850.0
EBITDA,-49640287.0,-14083049.0,-1746290.0
EBIT,-52211012.0,-15352226.0,-3785373.0
Net Interest Income,-844231.0,-1069581.0,-1411558.0
Interest Expense,844231.0,1069581.0,1411558.0
Normalized Income,-57519859.0,-16415592.0,-12171338.0
Net Income From Continuing And Discontinued Operation,-110088241.0,-16421807.0,-5165892.0
Total Expenses,61152847.0,25028273.0,16094343.0
Total Operating Income As Reported,-55229917.0,-16457656.0,-10634340.0
Diluted Average Shares,26332324.0,26125620.0,26125620.0
Basic Average Shares,26332324.0,26125620.0,26125620.0
Diluted EPS,-4.18,-0.628571,-0.197733
Basic EPS,-4.18,-0.628571,-0.197733
Diluted NI Availto Com Stockholders,-110088241.0,-16421807.0,-5165892.0
Net Income Common Stockholders,-110088241.0,-16421807.0,-5165892.0
Net Income,-110088241.0,-16421807.0,-5165892.0
Minority Interests,2057022.0,0.0,31039.0
Net Income Including Noncontrolling Interests,-112145263.0,-16421807.0,-5196931.0
Net Income Continuous Operations,-112145263.0,-16421807.0,-5196931.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-112145263.0,-16421807.0,-5196931.0
Other Income Expense,-59090020.0,1099215.0,6848967.0
Other Non Operating Income Expenses,-6521638.0,1090263.0,173624.0
Special Income Charges,-14130791.0,-6215.0,7005446.0
Gain On Sale Of Ppe,,0.0,7005446.0
Other Special Charges,-898632.0,,
Impairment Of Capital Assets,15029423.0,6215.0,
Earnings From Equity Interest,-12651.0,15167.0,-330103.0
Gain On Sale Of Security,-38437591.0,,
Net Non Operating Interest Income Expense,-844231.0,-1069581.0,-1411558.0
Interest Expense Non Operating,844231.0,1069581.0,1411558.0
Operating Income,-52211012.0,-16451441.0,-10634340.0
Operating Expense,51697042.0,17954882.0,11204493.0
Provision For Doubtful Accounts,5986308.0,469702.0,319816.0
Research And Development,6362770.0,1478256.0,1365380.0
Selling General And Administration,39347964.0,16006924.0,9519297.0
Selling And Marketing Expense,6525255.0,1034242.0,783763.0
General And Administrative Expense,32822709.0,14972682.0,8735534.0
Other Gand A,32822709.0,14972682.0,8735534.0
Gross Profit,-513970.0,1503441.0,570153.0
Cost Of Revenue,9455805.0,7073391.0,4889850.0
Total Revenue,8941835.0,8576832.0,5460003.0
Operating Revenue,8539559.0,7482828.0,5200596.0
