,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-83985000.0,-30635000.0
Net Income From Continuing Operation Net Minority Interest,-83985000.0,-39785000.0
EBITDA,-83985000.0,-30635000.0
EBIT,-83985000.0,-30635000.0
Net Interest Income,9018000.0,-9058000.0
Interest Expense,0.0,9150000.0
Interest Income,9018000.0,92000.0
Normalized Income,-83985000.0,-39785000.0
Net Income From Continuing And Discontinued Operation,-83985000.0,-39785000.0
Total Expenses,93003000.0,30727000.0
Total Operating Income As Reported,-93003000.0,-30727000.0
Diluted Average Shares,25005774.0,27246823.0
Basic Average Shares,25005774.0,27246823.0
Diluted EPS,-3.36,-1.46017
Basic EPS,-3.36,-1.46017
Diluted NI Availto Com Stockholders,-83985000.0,-39785000.0
Net Income Common Stockholders,-83985000.0,-39785000.0
Net Income,-83985000.0,-39785000.0
Net Income Including Noncontrolling Interests,-83985000.0,-39785000.0
Net Income Continuous Operations,-83985000.0,-39785000.0
Pretax Income,-83985000.0,-39785000.0
Net Non Operating Interest Income Expense,9018000.0,-9058000.0
Interest Expense Non Operating,0.0,9150000.0
Interest Income Non Operating,9018000.0,92000.0
Operating Income,-93003000.0,-30727000.0
Operating Expense,93003000.0,30727000.0
Research And Development,68424000.0,27786000.0
Selling General And Administration,24579000.0,2941000.0
General And Administrative Expense,24579000.0,2941000.0
Other Gand A,12002000.0,1299000.0
Salaries And Wages,12577000.0,1642000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
