,2022-12-31,2021-12-31
Ordinary Shares Number,19549982.0,19549982.0
Share Issued,19549982.0,19549982.0
Net Debt,33662000.0,22356000.0
Total Debt,34535000.0,23477000.0
Tangible Book Value,-36195000.0,-44960000.0
Invested Capital,-2350000.0,-21483000.0
Working Capital,-871000.0,1052000.0
Net Tangible Assets,-36195000.0,-44960000.0
Capital Lease Obligations,690000.0,0.0
Common Stock Equity,-36195000.0,-44960000.0
Total Capitalization,-2798000.0,-21483000.0
Total Equity Gross Minority Interest,-36195000.0,-44960000.0
Stockholders Equity,-36195000.0,-44960000.0
Gains Losses Not Affecting Retained Earnings,-115000.0,-108000.0
Other Equity Adjustments,-115000.0,-108000.0
Retained Earnings,-225985000.0,-210062000.0
Additional Paid In Capital,189904000.0,163818000.0
Capital Stock,1000.0,1392000.0
Common Stock,1000.0,1392000.0
Total Liabilities Net Minority Interest,38751000.0,47584000.0
Total Non Current Liabilities Net Minority Interest,36232000.0,46200000.0
Preferred Securities Outside Stock Equity,19973000.0,19973000.0
Derivative Product Liabilities,2270000.0,2750000.0
Long Term Debt And Capital Lease Obligation,33962000.0,23477000.0
Long Term Capital Lease Obligation,565000.0,0.0
Long Term Debt,33397000.0,23477000.0
Current Liabilities,2519000.0,1384000.0
Other Current Liabilities,335000.0,248000.0
Current Deferred Liabilities,15000.0,146000.0
Current Deferred Revenue,15000.0,15000.0
Current Debt And Capital Lease Obligation,573000.0,
Current Capital Lease Obligation,125000.0,0.0
Current Debt,448000.0,
Other Current Borrowings,448000.0,
Payables And Accrued Expenses,1611000.0,990000.0
Current Accrued Expenses,608000.0,275000.0
Payables,1003000.0,715000.0
Total Tax Payable,6000.0,54000.0
Accounts Payable,1003000.0,661000.0
Total Assets,2556000.0,2624000.0
Total Non Current Assets,908000.0,188000.0
Net PPE,908000.0,188000.0
Accumulated Depreciation,-4529000.0,-4457000.0
Gross PPE,908000.0,4645000.0
Construction In Progress,4106000.0,4043000.0
Other Properties,908000.0,
Machinery Furniture Equipment,754000.0,602000.0
Current Assets,1648000.0,2436000.0
Prepaid Assets,129000.0,167000.0
Inventory,1295000.0,1060000.0
Finished Goods,121000.0,137000.0
Work In Process,164000.0,112000.0
Raw Materials,1010000.0,811000.0
Receivables,41000.0,88000.0
Accounts Receivable,41000.0,88000.0
Cash Cash Equivalents And Short Term Investments,183000.0,1121000.0
Cash And Cash Equivalents,183000.0,1121000.0
