,2022-12-31,2021-12-31
Free Cash Flow,-49843.0,-506987.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,250386.0,229.0
Beginning Cash Position,229.0,7216.0
Changes In Cash,250157.0,-6987.0
Financing Cash Flow,300000.0,500000.0
Cash Flow From Continuing Financing Activities,300000.0,500000.0
Net Other Financing Charges,300000.0,500000.0
Operating Cash Flow,-49843.0,-506987.0
Cash Flow From Continuing Operating Activities,-49843.0,-506988.0
Change In Working Capital,299601.0,279572.0
Change In Other Current Liabilities,4160.0,2203.0
Change In Payables And Accrued Expense,295441.0,277369.0
Change In Accrued Expense,295441.0,56965.0
Change In Payable,295441.0,277369.0
Other Non Cash Items,,1.0
Stock Based Compensation,16676.0,17464.0
Depreciation Amortization Depletion,65886.0,119791.0
Depreciation And Amortization,65886.0,119791.0
Depreciation,65886.0,119791.0
Net Income From Continuing Operations,-432006.0,-923815.0
