,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-6800.0,63420.0
Tax Rate For Calcs,0.0068,0.21
Normalized EBITDA,-46170000.0,-44611000.0
Total Unusual Items,-1000000.0,302000.0
Total Unusual Items Excluding Goodwill,-1000000.0,302000.0
Net Income From Continuing Operation Net Minority Interest,-87589000.0,-104630000.0
Reconciled Depreciation,2040000.0,2751000.0
Reconciled Cost Of Revenue,3656000.0,3035000.0
EBITDA,-47170000.0,-44309000.0
EBIT,-49210000.0,-47060000.0
Net Interest Income,-38977000.0,-57036000.0
Interest Expense,38977000.0,57036000.0
Normalized Income,-86595800.0,-104868580.0
Net Income From Continuing And Discontinued Operation,-87589000.0,-104630000.0
Total Expenses,42279000.0,50796000.0
Total Operating Income As Reported,-38528000.0,-50216000.0
Diluted Average Shares,98118823.0,98118823.0
Basic Average Shares,98118823.0,98118823.0
Diluted EPS,-0.892683,-1.08496
Basic EPS,-0.892683,-1.08496
Diluted NI Availto Com Stockholders,-87589000.0,-106455000.0
Net Income Common Stockholders,-87589000.0,-106455000.0
Preferred Stock Dividends,,1825000.0
Net Income,-87589000.0,-104630000.0
Net Income Including Noncontrolling Interests,-87589000.0,-104630000.0
Net Income Continuous Operations,-87589000.0,-104630000.0
Tax Provision,-598000.0,534000.0
Pretax Income,-88187000.0,-104096000.0
Other Income Expense,-10787000.0,-105000.0
Other Non Operating Income Expenses,-9787000.0,-407000.0
Special Income Charges,-105000.0,-2240000.0
Other Special Charges,,-1021000.0
Restructuring And Mergern Acquisition,105000.0,3261000.0
Gain On Sale Of Security,-895000.0,2542000.0
Net Non Operating Interest Income Expense,-38977000.0,-57036000.0
Interest Expense Non Operating,38977000.0,57036000.0
Operating Income,-38423000.0,-46955000.0
Operating Expense,38623000.0,47761000.0
Other Operating Expenses,1165000.0,5043000.0
Depreciation Amortization Depletion Income Statement,2040000.0,2751000.0
Depreciation And Amortization In Income Statement,2040000.0,2751000.0
Research And Development,18115000.0,24302000.0
Selling General And Administration,17303000.0,15665000.0
Gross Profit,200000.0,806000.0
Cost Of Revenue,3656000.0,3035000.0
Total Revenue,3856000.0,3841000.0
Operating Revenue,3856000.0,3587000.0
