,2022-12-31,2021-12-31
Ordinary Shares Number,31660231.0,31660231.0
Share Issued,31660231.0,31660231.0
Net Debt,6813000.0,
Total Debt,54726000.0,29103000.0
Tangible Book Value,-318422000.0,-268042000.0
Invested Capital,-288677000.0,-265195000.0
Working Capital,20580000.0,54534000.0
Net Tangible Assets,-318422000.0,-268042000.0
Capital Lease Obligations,24981000.0,26256000.0
Common Stock Equity,-318422000.0,-268042000.0
Total Capitalization,-288677000.0,-268042000.0
Total Equity Gross Minority Interest,-318422000.0,-268042000.0
Stockholders Equity,-318422000.0,-268042000.0
Gains Losses Not Affecting Retained Earnings,7000.0,0.0
Other Equity Adjustments,7000.0,
Retained Earnings,-338688000.0,-286987000.0
Additional Paid In Capital,20258000.0,18944000.0
Capital Stock,1000.0,1000.0
Common Stock,1000.0,1000.0
Total Liabilities Net Minority Interest,396259000.0,372900000.0
Total Non Current Liabilities Net Minority Interest,390722000.0,364873000.0
Preferred Securities Outside Stock Equity,339233000.0,336568000.0
Derivative Product Liabilities,330000.0,1227000.0
Non Current Deferred Liabilities,0.0,2000000.0
Non Current Deferred Revenue,0.0,2000000.0
Long Term Debt And Capital Lease Obligation,51159000.0,25078000.0
Long Term Capital Lease Obligation,21414000.0,25078000.0
Long Term Debt,29745000.0,
Current Liabilities,5537000.0,8027000.0
Current Debt And Capital Lease Obligation,3567000.0,4025000.0
Current Capital Lease Obligation,3567000.0,1178000.0
Current Debt,,2847000.0
Other Current Borrowings,,2847000.0
Payables And Accrued Expenses,1970000.0,4002000.0
Current Accrued Expenses,1001000.0,2738000.0
Payables,969000.0,1264000.0
Accounts Payable,969000.0,1264000.0
Total Assets,77837000.0,104858000.0
Total Non Current Assets,51720000.0,42297000.0
Other Non Current Assets,2342000.0,2331000.0
Non Current Prepaid Assets,9443000.0,195000.0
Non Current Note Receivables,0.0,248000.0
Net PPE,39935000.0,39523000.0
Accumulated Depreciation,-12659000.0,-11564000.0
Gross PPE,52594000.0,51087000.0
Leases,13914000.0,13461000.0
Construction In Progress,10175000.0,9528000.0
Other Properties,28488000.0,28021000.0
Machinery Furniture Equipment,17000.0,77000.0
Properties,0.0,0.0
Current Assets,26117000.0,62561000.0
Prepaid Assets,2245000.0,1963000.0
Inventory,0.0,63000.0
Receivables,940000.0,3496000.0
Other Receivables,940000.0,3496000.0
Cash Cash Equivalents And Short Term Investments,22932000.0,57039000.0
Cash And Cash Equivalents,22932000.0,57039000.0
