,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Tax Effect Of Unusual Items,46530.0,133104.0,-56364.0,-1409368.0,
Tax Rate For Calcs,0.235,0.236,0.308,0.241,
Normalized EBITDA,238758000.0,231860000.0,63999000.0,209958000.0,
Total Unusual Items,198000.0,564000.0,-183000.0,-5848000.0,
Total Unusual Items Excluding Goodwill,198000.0,564000.0,-183000.0,-5848000.0,
Net Income From Continuing Operation Net Minority Interest,116216000.0,93723000.0,-29722000.0,61193000.0,
Reconciled Depreciation,78781000.0,93744000.0,96606000.0,100289000.0,
Reconciled Cost Of Revenue,1469695000.0,1708676000.0,1630742000.0,1421896000.0,
EBITDA,238956000.0,232424000.0,63816000.0,204110000.0,
EBIT,160175000.0,138680000.0,-32790000.0,103821000.0,
Net Interest Income,-8207000.0,-15994000.0,-10189000.0,-23128000.0,
Interest Expense,8207000.0,15994000.0,10189000.0,23128000.0,
Normalized Income,116064530.0,93292104.0,-29595364.0,65631632.0,
Net Income From Continuing And Discontinued Operation,116216000.0,93723000.0,-29722000.0,61193000.0,
Total Expenses,1686306000.0,1928316000.0,1889317000.0,1623428000.0,
Total Operating Income As Reported,161394000.0,136352000.0,36159000.0,114738000.0,
Diluted Average Shares,16260000.0,16685000.0,16592358.0,17036730.0,
Basic Average Shares,16139000.0,16614000.0,16570619.0,16801101.0,
Diluted EPS,7.15,5.62,-1.793657,3.45,
Basic EPS,7.2,5.64,-1.793657,3.497568,
Diluted NI Availto Com Stockholders,116216000.0,93723000.0,-29722000.0,61193000.0,
Net Income Common Stockholders,116216000.0,93723000.0,-29722000.0,61193000.0,
Net Income,116216000.0,93723000.0,-29722000.0,61193000.0,
Net Income Including Noncontrolling Interests,116216000.0,93723000.0,-29722000.0,61193000.0,
Net Income Continuous Operations,116216000.0,93723000.0,-29722000.0,61193000.0,
Tax Provision,35752000.0,28963000.0,-13257000.0,19500000.0,
Pretax Income,151968000.0,122686000.0,-42979000.0,80693000.0,
Other Income Expense,-1021000.0,796000.0,-659000.0,-16765000.0,
Other Non Operating Income Expenses,-1219000.0,232000.0,-476000.0,-10917000.0,
Special Income Charges,198000.0,564000.0,-183000.0,-5848000.0,
Other Special Charges,,-2089000.0,68473000.0,,
Restructuring And Mergern Acquisition,-198000.0,1525000.0,183000.0,5848000.0,
Net Non Operating Interest Income Expense,-8207000.0,-15994000.0,-10189000.0,-23128000.0,
Total Other Finance Cost,,,,23128000.0,29027000.0
Interest Expense Non Operating,8207000.0,15994000.0,10189000.0,23128000.0,
Operating Income,161196000.0,137884000.0,-32131000.0,120586000.0,
Operating Expense,216611000.0,219640000.0,258575000.0,201532000.0,
Selling General And Administration,216611000.0,219640000.0,258575000.0,201532000.0,
Selling And Marketing Expense,92603000.0,94602000.0,92555000.0,89011000.0,
General And Administrative Expense,124008000.0,125038000.0,166020000.0,112521000.0,
Other Gand A,124008000.0,125045000.0,97547000.0,112521000.0,
Salaries And Wages,0.0,-7000.0,68473000.0,0.0,
Gross Profit,377807000.0,357524000.0,226444000.0,322118000.0,
Cost Of Revenue,1469695000.0,1708676000.0,1630742000.0,1421896000.0,
Total Revenue,1847502000.0,2066200000.0,1857186000.0,1744014000.0,
Operating Revenue,1847502000.0,2066200000.0,1857186000.0,1744014000.0,
