,2023-12-31,2022-12-31
Free Cash Flow,-1181777.0,0.0
Repayment Of Debt,-300000.0,0.0
Issuance Of Capital Stock,345000000.0,0.0
End Cash Position,284783.0,20000.0
Beginning Cash Position,20000.0,0.0
Changes In Cash,264783.0,20000.0
Financing Cash Flow,346446560.0,20000.0
Cash Flow From Continuing Financing Activities,346446560.0,20000.0
Net Other Financing Charges,-7653440.0,20000.0
Proceeds From Stock Option Exercised,9400000.0,0.0
Net Common Stock Issuance,345000000.0,0.0
Common Stock Issuance,345000000.0,0.0
Net Issuance Payments Of Debt,-300000.0,0.0
Net Short Term Debt Issuance,-300000.0,0.0
Short Term Debt Payments,-300000.0,0.0
Investing Cash Flow,-345000000.0,0.0
Cash Flow From Continuing Investing Activities,-345000000.0,0.0
Net Other Investing Changes,-345000000.0,
Operating Cash Flow,-1181777.0,0.0
Cash Flow From Continuing Operating Activities,-1181777.0,0.0
Change In Working Capital,-30329.0,0.0
Change In Other Working Capital,438613.0,
Change In Payables And Accrued Expense,11495.0,0.0
Change In Payable,11495.0,
Change In Account Payable,11495.0,0.0
Change In Prepaid Assets,-480437.0,0.0
Other Non Cash Items,-2456838.0,1225.0
Net Income From Continuing Operations,1305390.0,-1225.0
