,2023-12-31,2022-12-31,2020-12-31
Free Cash Flow,-160511000.0,-201683000.0,-10630000.0
Repurchase Of Capital Stock,,,0.0
Repayment Of Debt,,,0.0
Issuance Of Debt,,0.0,1361000.0
Issuance Of Capital Stock,20807000.0,0.0,0.0
Capital Expenditure,-169000.0,-1137000.0,
Interest Paid Supplemental Data,9906000.0,7277000.0,
Income Tax Paid Supplemental Data,2943000.0,1299000.0,
End Cash Position,128030000.0,393644000.0,7227000.0
Beginning Cash Position,393644000.0,595082000.0,16570000.0
Effect Of Exchange Rate Changes,615000.0,-418000.0,-75000.0
Changes In Cash,-266229000.0,-201020000.0,-9268000.0
Financing Cash Flow,21117000.0,457000.0,1362000.0
Cash Flow From Continuing Financing Activities,21117000.0,457000.0,1362000.0
Net Other Financing Charges,,-261000.0,1000.0
Proceeds From Stock Option Exercised,310000.0,718000.0,0.0
Net Preferred Stock Issuance,,0.0,0.0
Preferred Stock Issuance,,0.0,0.0
Net Common Stock Issuance,20807000.0,0.0,0.0
Common Stock Payments,,,0.0
Common Stock Issuance,20807000.0,0.0,0.0
Net Issuance Payments Of Debt,,0.0,1361000.0
Net Short Term Debt Issuance,,,0.0
Short Term Debt Payments,,,0.0
Net Long Term Debt Issuance,,0.0,1361000.0
Long Term Debt Issuance,,0.0,1361000.0
Investing Cash Flow,-127004000.0,-931000.0,0.0
Cash Flow From Continuing Investing Activities,-127004000.0,-931000.0,0.0
Net Other Investing Changes,,206000.0,
Net Investment Purchase And Sale,-126835000.0,0.0,
Sale Of Investment,138075000.0,0.0,
Purchase Of Investment,-264910000.0,0.0,
Net Business Purchase And Sale,,0.0,0.0
Sale Of Business,,0.0,0.0
Net Intangibles Purchase And Sale,,,0.0
Purchase Of Intangibles,,,0.0
Net PPE Purchase And Sale,-169000.0,-1137000.0,0.0
Purchase Of PPE,-169000.0,-1137000.0,0.0
Operating Cash Flow,-160342000.0,-200546000.0,-10630000.0
Cash Flow From Continuing Operating Activities,-160342000.0,-200546000.0,-10630000.0
Change In Working Capital,-18858000.0,-2831000.0,-489000.0
Change In Other Working Capital,,,57000.0
Change In Other Current Assets,-1883000.0,0.0,
Change In Payables And Accrued Expense,-3519000.0,12612000.0,604000.0
Change In Accrued Expense,-797000.0,6261000.0,653000.0
Change In Payable,-2722000.0,6351000.0,-49000.0
Change In Account Payable,-2722000.0,6351000.0,-49000.0
Change In Prepaid Assets,-1364000.0,-3732000.0,306000.0
Change In Receivables,-12092000.0,-11711000.0,-1456000.0
Other Non Cash Items,28000.0,173000.0,
Stock Based Compensation,29392000.0,24965000.0,336000.0
Unrealized Gain Loss On Investment Securities,5900000.0,-3920000.0,186000.0
Deferred Tax,-26529000.0,-2857000.0,
Deferred Income Tax,-26529000.0,-2857000.0,
Depreciation Amortization Depletion,810000.0,131000.0,0.0
Depreciation And Amortization,810000.0,131000.0,0.0
Net Income From Continuing Operations,-151085000.0,-216207000.0,-10663000.0
