,2024-06-30,2023-06-30,2022-12-31,2022-06-30,2021-12-31,2021-06-30
Tax Effect Of Unusual Items,-512400.0,-1116780.0,343539.477897,65260.0,,
Tax Rate For Calcs,0.21,0.21,0.082445,0.26,,
Normalized EBITDA,22420000.0,-20800000.0,-6774946.0,50106000.0,,
Total Unusual Items,-2440000.0,-5318000.0,4166900.0,251000.0,,
Total Unusual Items Excluding Goodwill,-2440000.0,-5318000.0,4166900.0,251000.0,,
Net Income From Continuing Operation Net Minority Interest,4581000.0,-35404000.0,2943538.0,28619000.0,,
Reconciled Depreciation,5880000.0,6629000.0,,8259000.0,,11395000.0
Reconciled Cost Of Revenue,971594000.0,1054788000.0,,1234995000.0,,1141141000.0
EBITDA,19980000.0,-26118000.0,-2608046.0,50357000.0,,
EBIT,14100000.0,-32747000.0,-2608046.0,42098000.0,,
Net Interest Income,-12247000.0,-11715000.0,1649169.0,-4056000.0,,
Interest Expense,12247000.0,11715000.0,,4056000.0,,2938000.0
Interest Income,,,1649169.0,,10281.0,
Normalized Income,6508600.0,-31202780.0,-879822.522103,28433260.0,,
Net Income From Continuing And Discontinued Operation,4581000.0,-35404000.0,2943538.0,28619000.0,,
Total Expenses,1083943000.0,1186151000.0,2608046.0,1375531000.0,,
Total Operating Income As Reported,14141000.0,-32746000.0,-2608046.0,42098000.0,,
Diluted Average Shares,50837148.0,48138393.0,,47500000.0,900000.0,
Basic Average Shares,50837148.0,48138393.0,,47500000.0,900000.0,
Diluted EPS,0.09,-0.74,,0.6,3.604673,
Basic EPS,0.09,-0.74,,0.6,3.604673,
Diluted NI Availto Com Stockholders,4581000.0,-35404000.0,2943538.0,28619000.0,,
Net Income Common Stockholders,4581000.0,-35404000.0,2943538.0,28619000.0,,
Net Income,4581000.0,-35404000.0,2943538.0,28619000.0,,
Net Income Including Noncontrolling Interests,4581000.0,-35404000.0,2943538.0,28619000.0,,
Net Income Continuous Operations,4581000.0,-35404000.0,2943538.0,28619000.0,,
Tax Provision,-2728000.0,-9058000.0,264485.0,9423000.0,,
Pretax Income,1853000.0,-44462000.0,3208023.0,38042000.0,,
Other Income Expense,-2440000.0,-5318000.0,4166900.0,251000.0,,
Other Non Operating Income Expenses,,,,,-86544.0,
Special Income Charges,-2399000.0,-5317000.0,,251000.0,,-3596000.0
Gain On Sale Of Ppe,-33000.0,3000.0,,0.0,,-87000.0
Restructuring And Mergern Acquisition,2366000.0,5320000.0,,-251000.0,,3509000.0
Gain On Sale Of Security,-41000.0,-1000.0,4166900.0,,4297300.0,
Net Non Operating Interest Income Expense,-12247000.0,-11715000.0,1649169.0,-4056000.0,,
Interest Expense Non Operating,12247000.0,11715000.0,,4056000.0,,2938000.0
Interest Income Non Operating,,,1649169.0,,10281.0,
Operating Income,16540000.0,-27429000.0,-2608046.0,41846000.0,,
Operating Expense,112349000.0,131363000.0,2608046.0,140536000.0,,
Other Operating Expenses,,2833000.0,2608046.0,9907000.0,976831.0,
Depreciation Amortization Depletion Income Statement,5880000.0,6629000.0,,8259000.0,,11651000.0
Depreciation And Amortization In Income Statement,5880000.0,6629000.0,,8259000.0,,11651000.0
Selling General And Administration,106469000.0,121901000.0,,122370000.0,,114134000.0
Selling And Marketing Expense,48818000.0,62841000.0,,64260000.0,,56885000.0
General And Administrative Expense,57651000.0,59060000.0,,58110000.0,,57249000.0
Other Gand A,57651000.0,59060000.0,,58110000.0,,57249000.0
Gross Profit,128889000.0,103934000.0,,182382000.0,,182682000.0
Cost Of Revenue,971594000.0,1054788000.0,,1234995000.0,,1140885000.0
Total Revenue,1100483000.0,1158722000.0,0.0,1417377000.0,,
Operating Revenue,1100483000.0,1158722000.0,0.0,1417377000.0,,
