,2023-12-31,2022-12-31
Ordinary Shares Number,7006329.0,9180500.0
Share Issued,7006329.0,9180500.0
Net Debt,136440.0,
Total Debt,165000.0,
Tangible Book Value,50555782.0,70934543.0
Invested Capital,50720782.0,70934543.0
Working Capital,-324822.0,483935.0
Net Tangible Assets,50555782.0,70934543.0
Common Stock Equity,50555782.0,70934543.0
Total Capitalization,50555782.0,70934543.0
Total Equity Gross Minority Interest,50555782.0,70934543.0
Stockholders Equity,50555782.0,70934543.0
Retained Earnings,-325050.0,-42578.0
Additional Paid In Capital,0.0,596893.0
Capital Stock,50880832.0,70380228.0
Common Stock,50880832.0,70380228.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,387955.0,257871.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,387955.0,257871.0
Current Debt And Capital Lease Obligation,165000.0,
Current Debt,165000.0,
Other Current Borrowings,165000.0,
Current Notes Payable,165000.0,0.0
Payables And Accrued Expenses,222955.0,257871.0
Payables,222955.0,257871.0
Dueto Related Parties Current,9837.0,9837.0
Accounts Payable,213118.0,248034.0
Total Assets,50943737.0,71192414.0
Total Non Current Assets,50880604.0,70450608.0
Other Non Current Assets,50880604.0,70418228.0
Non Current Prepaid Assets,0.0,32380.0
Current Assets,63133.0,741806.0
Prepaid Assets,34573.0,82771.0
Cash Cash Equivalents And Short Term Investments,28560.0,659035.0
Cash And Cash Equivalents,28560.0,659035.0
Cash Financial,28560.0,659035.0
