,2023-12-31,2022-12-31,2020-12-31
Tax Effect Of Unusual Items,12780404.099561,10342500.0,-61599420.0
Tax Rate For Calcs,0.218155,0.21,0.27
Normalized EBITDA,330349000.0,348764000.0,325146000.0
Total Unusual Items,58584000.0,49250000.0,-228146000.0
Total Unusual Items Excluding Goodwill,58584000.0,49250000.0,-228146000.0
Net Income From Continuing Operation Net Minority Interest,6546000.0,-93482000.0,-295084000.0
Reconciled Depreciation,211930000.0,277108000.0,214456000.0
Reconciled Cost Of Revenue,165714000.0,170932000.0,188453000.0
EBITDA,388933000.0,398014000.0,97000000.0
EBIT,177003000.0,120906000.0,-118030000.0
Net Interest Income,-159706000.0,-212404000.0,-194267000.0
Interest Expense,172905000.0,217342000.0,200663000.0
Interest Income,13199000.0,4938000.0,6396000.0
Normalized Income,-39257595.900439,-132389500.0,-128537420.0
Net Income From Continuing And Discontinued Operation,6546000.0,-93482000.0,-295084000.0
Total Expenses,441931000.0,516089000.0,457287000.0
Diluted Average Shares,31303000.0,30046000.0,196474000.0
Basic Average Shares,31303000.0,30046000.0,196474000.0
Diluted EPS,0.17,-3.2,-1.692305
Basic EPS,0.17,-3.2,-1.692305
Diluted NI Availto Com Stockholders,5433000.0,-96019000.0,-332494000.0
Net Income Common Stockholders,5433000.0,-96019000.0,-332494000.0
Otherunder Preferred Stock Dividend,1113000.0,2537000.0,0.0
Preferred Stock Dividends,,,37410000.0
Net Income,6546000.0,-93482000.0,-295084000.0
Minority Interests,3342000.0,6033000.0,40445000.0
Net Income Including Noncontrolling Interests,3204000.0,-99515000.0,-335529000.0
Net Income Continuous Operations,3204000.0,-99515000.0,-335529000.0
Tax Provision,894000.0,3079000.0,16836000.0
Pretax Income,4098000.0,-96436000.0,-318693000.0
Other Income Expense,70449000.0,69046000.0,-243000000.0
Special Income Charges,53459000.0,43944000.0,-232842000.0
Gain On Sale Of Business,47879000.0,36250000.0,0.0
Other Special Charges,-5580000.0,-7648000.0,-16493000.0
Impairment Of Capital Assets,0.0,252000.0,213358000.0
Restructuring And Mergern Acquisition,0.0,-298000.0,35977000.0
Earnings From Equity Interest,11865000.0,19796000.0,-14854000.0
Gain On Sale Of Security,5125000.0,5306000.0,4696000.0
Net Non Operating Interest Income Expense,-159706000.0,-212404000.0,-194267000.0
Interest Expense Non Operating,172905000.0,217342000.0,200663000.0
Interest Income Non Operating,13199000.0,4938000.0,6396000.0
Operating Income,93355000.0,46922000.0,118574000.0
Operating Expense,254792000.0,324359000.0,269408000.0
Other Operating Expenses,221000.0,834000.0,953000.0
Other Taxes,,57119000.0,69686000.0
Depreciation Amortization Depletion Income Statement,190505000.0,256310000.0,215030000.0
Depreciation And Amortization In Income Statement,190505000.0,256310000.0,215030000.0
Selling General And Administration,64066000.0,67215000.0,53425000.0
General And Administrative Expense,64066000.0,67215000.0,53425000.0
Other Gand A,64066000.0,67215000.0,53425000.0
Gross Profit,348147000.0,371281000.0,387982000.0
Cost Of Revenue,187139000.0,191730000.0,187879000.0
Total Revenue,535286000.0,563011000.0,575861000.0
Operating Revenue,521874000.0,549405000.0,560864000.0
