,2023-12-31,2022-12-31
Free Cash Flow,-653172.0,-290216.0
Repurchase Of Capital Stock,-25943773.0,0.0
Repayment Of Debt,0.0,-300000.0
Issuance Of Debt,860000.0,100000.0
Issuance Of Capital Stock,0.0,56859454.0
Income Tax Paid Supplemental Data,105660.0,0.0
End Cash Position,339.0,57284.0
Beginning Cash Position,57284.0,16860.0
Changes In Cash,-56945.0,40424.0
Financing Cash Flow,-24986721.0,55315017.0
Cash Flow From Continuing Financing Activities,-24986721.0,55315017.0
Net Other Financing Charges,97052.0,-1344537.0
Proceeds From Stock Option Exercised,0.0,100.0
Net Common Stock Issuance,-25943773.0,56859454.0
Common Stock Payments,-25943773.0,0.0
Common Stock Issuance,0.0,56859454.0
Net Issuance Payments Of Debt,860000.0,-200000.0
Net Short Term Debt Issuance,860000.0,-200000.0
Short Term Debt Payments,0.0,-300000.0
Short Term Debt Issuance,860000.0,100000.0
Investing Cash Flow,25582948.0,-54984377.0
Cash Flow From Continuing Investing Activities,25582948.0,-54984377.0
Net Other Investing Changes,25582948.0,-54984377.0
Operating Cash Flow,-653172.0,-290216.0
Cash Flow From Continuing Operating Activities,-653172.0,-290216.0
Change In Working Capital,615577.0,-17432.0
Change In Payables And Accrued Expense,395419.0,204914.0
Change In Payable,395419.0,204914.0
Change In Account Payable,8970.0,140075.0
Change In Tax Payable,386449.0,64839.0
Change In Income Tax Payable,386449.0,64839.0
Change In Prepaid Assets,220158.0,-222346.0
Other Non Cash Items,-1980430.0,-259976.0
Unrealized Gain Loss On Investment Securities,-141556.0,-176876.0
Deferred Tax,-144680.0,0.0
Deferred Income Tax,-144680.0,0.0
Net Income From Continuing Operations,997917.0,164068.0
