,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Free Cash Flow,-6356826.0,-6502187.0,-3710067.0,-1045941.0,
Repayment Of Debt,-79678.0,-95298.0,-89196.0,-60863.0,
Issuance Of Debt,,,0.0,521650.0,90000.0
Issuance Of Capital Stock,5345848.0,8533334.0,3050032.0,2162832.0,
Capital Expenditure,-1147805.0,-2005914.0,-410997.0,-19051.0,
End Cash Position,2814576.0,4046634.0,2110785.0,2860016.0,
Beginning Cash Position,4046634.0,2110785.0,2860016.0,45420.0,
Changes In Cash,-1232058.0,1935849.0,-749231.0,2814596.0,
Financing Cash Flow,5113768.0,8438036.0,2960836.0,3860537.0,
Cash Flow From Continuing Financing Activities,5113768.0,8438036.0,2960836.0,3860537.0,
Net Other Financing Charges,-152402.0,,,1236918.0,
Net Common Stock Issuance,5345848.0,8533334.0,3050032.0,2162832.0,
Common Stock Issuance,5345848.0,8533334.0,3050032.0,2162832.0,
Net Issuance Payments Of Debt,-79678.0,-95298.0,-89196.0,460787.0,
Net Long Term Debt Issuance,-79678.0,-95298.0,-89196.0,460787.0,
Long Term Debt Payments,-79678.0,-95298.0,-89196.0,-60863.0,
Long Term Debt Issuance,,,0.0,521650.0,90000.0
Investing Cash Flow,-1136805.0,-2005914.0,-410997.0,-19051.0,
Cash Flow From Continuing Investing Activities,-1136805.0,-2005914.0,-410997.0,-19051.0,
Net Investment Purchase And Sale,,,,,250000.0
Sale Of Investment,,,,,250000.0
Purchase Of Investment,,,,,0.0
Net Intangibles Purchase And Sale,,,,,-2295.0
Purchase Of Intangibles,,,,,-2295.0
Net PPE Purchase And Sale,-1136805.0,-2005914.0,-410997.0,-19051.0,
Sale Of PPE,11000.0,0.0,,,
Purchase Of PPE,-1147805.0,-2005914.0,-410997.0,-19051.0,
Operating Cash Flow,-5209021.0,-4496273.0,-3299070.0,-1026890.0,
Cash Flow From Continuing Operating Activities,-5209021.0,-4496273.0,-3299070.0,-1026890.0,
Change In Working Capital,304106.0,-701001.0,-348930.0,-368989.0,
Change In Other Working Capital,,,,-37883.0,37883.0
Change In Other Current Liabilities,,,0.0,,
Change In Other Current Assets,,,,,4887.0
Change In Payables And Accrued Expense,116607.0,-315033.0,45242.0,-274113.0,
Change In Payable,116607.0,-315033.0,45242.0,-274113.0,
Change In Account Payable,116607.0,-315033.0,45242.0,-159001.0,
Change In Prepaid Assets,50870.0,-79470.0,-312644.0,,4627.0
Change In Receivables,136629.0,-306498.0,-81528.0,-56993.0,
Other Non Cash Items,10639.0,13575.0,29472.0,1501219.0,
Stock Based Compensation,1479430.0,1903157.0,1790931.0,1001832.0,
Asset Impairment Charge,,,,,300000.0
Depreciation Amortization Depletion,431153.0,151313.0,60633.0,57211.0,
Depreciation And Amortization,431153.0,151313.0,60633.0,57211.0,
Operating Gains Losses,2512.0,,249375.0,-9427.0,
Net Foreign Currency Exchange Gain Loss,,0.0,4062.0,-9427.0,
Gain Loss On Sale Of PPE,2512.0,0.0,,,
Net Income From Continuing Operations,-7436861.0,-5863317.0,-5080551.0,-3208736.0,
