,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,6478382.0,10554500.0,10554500.0
Share Issued,6478382.0,10554500.0,10554500.0
Net Debt,1005011.0,,222729.0
Total Debt,1010000.0,,222729.0
Tangible Book Value,39320218.0,79972652.0,22296.0
Invested Capital,40330218.0,79972652.0,245025.0
Working Capital,-1656945.0,41420.0,22296.0
Net Tangible Assets,39320218.0,79972652.0,22296.0
Common Stock Equity,39320218.0,79972652.0,22296.0
Total Capitalization,39320218.0,79972652.0,22296.0
Total Equity Gross Minority Interest,39320218.0,79972652.0,22296.0
Stockholders Equity,39320218.0,79972652.0,22296.0
Retained Earnings,-4474695.0,-2763260.0,-2704.0
Additional Paid In Capital,0.0,0.0,24799.0
Capital Stock,43794913.0,82735912.0,201.0
Common Stock,43794913.0,82735912.0,201.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4492504.0,3643498.0,222729.0
Total Non Current Liabilities Net Minority Interest,2817500.0,2817500.0,0.0
Non Current Deferred Liabilities,2817500.0,2817500.0,0.0
Current Liabilities,1675004.0,825998.0,222729.0
Current Debt And Capital Lease Obligation,1010000.0,,222729.0
Current Debt,1010000.0,,222729.0
Other Current Borrowings,1010000.0,,222729.0
Current Notes Payable,,0.0,222729.0
Payables And Accrued Expenses,665004.0,825998.0,0.0
Payables,665004.0,825998.0,
Dueto Related Parties Current,31572.0,13749.0,0.0
Accounts Payable,633432.0,812249.0,0.0
Total Assets,43812722.0,83616150.0,245025.0
Total Non Current Assets,43794663.0,82748732.0,0.0
Other Non Current Assets,43794663.0,82735662.0,
Non Current Prepaid Assets,0.0,13070.0,
Non Current Deferred Assets,,,245025.0
Current Assets,18059.0,867418.0,245025.0
Current Deferred Assets,,0.0,245025.0
Prepaid Assets,13070.0,156845.0,0.0
Cash Cash Equivalents And Short Term Investments,4989.0,710573.0,0.0
Cash And Cash Equivalents,4989.0,710573.0,0.0
Cash Financial,4989.0,710573.0,0.0
