,2023-12-31,2022-12-31
Free Cash Flow,-5759000.0,-12727000.0
Repurchase Of Capital Stock,0.0,-169000.0
Issuance Of Capital Stock,387000.0,8663000.0
Capital Expenditure,-43000.0,-1805000.0
End Cash Position,4042000.0,9414000.0
Beginning Cash Position,9414000.0,13647000.0
Changes In Cash,-5372000.0,-4233000.0
Financing Cash Flow,387000.0,8494000.0
Cash Flow From Continuing Financing Activities,387000.0,8494000.0
Net Common Stock Issuance,387000.0,8494000.0
Common Stock Payments,0.0,-169000.0
Common Stock Issuance,387000.0,8663000.0
Investing Cash Flow,-43000.0,-1805000.0
Cash Flow From Continuing Investing Activities,-43000.0,-1805000.0
Net Intangibles Purchase And Sale,0.0,-1674000.0
Purchase Of Intangibles,0.0,-1674000.0
Net PPE Purchase And Sale,-43000.0,-131000.0
Purchase Of PPE,-43000.0,-131000.0
Operating Cash Flow,-5716000.0,-10922000.0
Cash Flow From Continuing Operating Activities,-5717000.0,-10923000.0
Change In Working Capital,1927000.0,-802000.0
Change In Other Working Capital,144000.0,1000.0
Change In Other Current Assets,1883000.0,-233000.0
Change In Payables And Accrued Expense,-50000.0,-562000.0
Change In Accrued Expense,69000.0,-312000.0
Change In Interest Payable,0.0,-79000.0
Change In Payable,-119000.0,-250000.0
Change In Account Payable,-119000.0,-250000.0
Change In Receivables,-50000.0,-8000.0
Changes In Account Receivables,-50000.0,-8000.0
Other Non Cash Items,1000.0,1000.0
Stock Based Compensation,1154000.0,1309000.0
Depreciation Amortization Depletion,209000.0,196000.0
Depreciation And Amortization,209000.0,196000.0
Net Income From Continuing Operations,-9007000.0,-11626000.0
