,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-7266000.0,-1990000.0
Total Unusual Items,-8000000.0,
Total Unusual Items Excluding Goodwill,-8000000.0,
Net Income From Continuing Operation Net Minority Interest,-15426000.0,-1990000.0
Reconciled Depreciation,81000.0,0.0
EBITDA,-15266000.0,-1990000.0
EBIT,-15347000.0,-1990000.0
Net Interest Income,48000.0,0.0
Interest Expense,79000.0,0.0
Interest Income,127000.0,0.0
Normalized Income,-7426000.0,-1990000.0
Net Income From Continuing And Discontinued Operation,-15426000.0,-1990000.0
Total Expenses,7474000.0,1990000.0
Total Operating Income As Reported,-12030000.0,-1990000.0
Diluted Average Shares,731314.0,1055891.0
Basic Average Shares,731314.0,1055891.0
Diluted EPS,-21.0,-1.884664
Basic EPS,-21.0,-1.884664
Diluted NI Availto Com Stockholders,-15426000.0,-1990000.0
Net Income Common Stockholders,-15426000.0,-1990000.0
Net Income,-15426000.0,-1990000.0
Net Income Including Noncontrolling Interests,-15426000.0,-1990000.0
Net Income Continuous Operations,-15426000.0,-1990000.0
Tax Provision,0.0,0.0
Pretax Income,-15426000.0,-1990000.0
Other Income Expense,-8000000.0,
Gain On Sale Of Security,-8000000.0,
Net Non Operating Interest Income Expense,48000.0,0.0
Interest Expense Non Operating,79000.0,0.0
Interest Income Non Operating,127000.0,0.0
Operating Income,-7474000.0,-1990000.0
Operating Expense,7474000.0,1990000.0
Research And Development,2225000.0,745000.0
Selling General And Administration,5249000.0,1245000.0
General And Administrative Expense,5249000.0,1245000.0
Other Gand A,5249000.0,1245000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
