,2023-12-31,2022-12-31
Free Cash Flow,-21625167.0,-17794093.0
Issuance Of Capital Stock,4134516.0,19255569.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,2958659.0,20449310.0
Beginning Cash Position,20449310.0,18987834.0
Changes In Cash,-17490651.0,1461476.0
Financing Cash Flow,4134516.0,19255569.0
Cash Flow From Continuing Financing Activities,4134516.0,19255569.0
Net Preferred Stock Issuance,4134516.0,19255569.0
Preferred Stock Issuance,4134516.0,19255569.0
Operating Cash Flow,-21625167.0,-17794093.0
Cash Flow From Continuing Operating Activities,-21625167.0,-17794093.0
Change In Working Capital,2572451.0,1731621.0
Change In Payables And Accrued Expense,2575612.0,1756925.0
Change In Accrued Expense,1284619.0,1170666.0
Change In Payable,1290993.0,586259.0
Change In Account Payable,1290993.0,586259.0
Change In Prepaid Assets,-3161.0,-25304.0
Other Non Cash Items,43641.0,16200.0
Stock Based Compensation,423539.0,654066.0
Operating Gains Losses,79822.0,-36579.0
Gain Loss On Investment Securities,79822.0,-36579.0
Net Income From Continuing Operations,-24744620.0,-20159401.0
