,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,25915248.0,6111282.0,-27201827.0,39602872.0,
Tax Rate For Calcs,0.251,0.237,0.263,0.262,
Normalized EBITDA,4384000.0,6927000.0,2368000.0,2701000.0,
Total Unusual Items,103248000.0,25786000.0,-103429000.0,151156000.0,
Total Unusual Items Excluding Goodwill,103248000.0,25786000.0,-103429000.0,151156000.0,
Net Income From Continuing Operation Net Minority Interest,78113000.0,21452000.0,-75624000.0,112900000.0,
Reconciled Depreciation,267000.0,279000.0,379000.0,480000.0,
Reconciled Cost Of Revenue,55750000.0,51697000.0,42343000.0,38593000.0,
EBITDA,107632000.0,32713000.0,-101061000.0,153857000.0,
EBIT,107365000.0,32434000.0,-101440000.0,153377000.0,
Net Interest Income,-3087000.0,-4332000.0,-1109000.0,-327000.0,
Interest Expense,3087000.0,4332000.0,1109000.0,327000.0,
Interest Income,,,5451000.0,2908000.0,4965000.0
Normalized Income,780248.0,1777282.0,603173.0,1346872.0,
Net Income From Continuing And Discontinued Operation,78113000.0,21452000.0,-75624000.0,112900000.0,
Total Expenses,66356000.0,61352000.0,50775000.0,45938000.0,
Rent Expense Supplemental,303000.0,289000.0,249000.0,286000.0,
Total Operating Income As Reported,4070000.0,6652000.0,1989000.0,2152000.0,
Diluted Average Shares,,1377026.0,1379655.0,1380746.0,1380746.0
Basic Average Shares,,1377026.0,1379655.0,1380746.0,1380746.0
Diluted EPS,,15.58,-54.81,81.77,2.93
Basic EPS,,15.58,-54.81,81.77,2.93
Diluted NI Availto Com Stockholders,78113000.0,21452000.0,-75624000.0,112900000.0,
Net Income Common Stockholders,78113000.0,21452000.0,-75624000.0,112900000.0,
Net Income,78113000.0,21452000.0,-75624000.0,112900000.0,
Net Income Including Noncontrolling Interests,78113000.0,21452000.0,-75624000.0,112900000.0,
Net Income Continuous Operations,78113000.0,21452000.0,-75624000.0,112900000.0,
Tax Provision,26165000.0,6650000.0,-26925000.0,40150000.0,
Pretax Income,104278000.0,28102000.0,-102549000.0,153050000.0,
Other Income Expense,103790000.0,26077000.0,-104674000.0,149390000.0,
Other Non Operating Income Expenses,542000.0,291000.0,-1245000.0,-1766000.0,
Special Income Charges,4000.0,0.0,272000.0,0.0,
Gain On Sale Of Ppe,4000.0,0.0,272000.0,0.0,
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,103244000.0,25786000.0,-103701000.0,151156000.0,
Net Non Operating Interest Income Expense,-3087000.0,-4332000.0,-1109000.0,-327000.0,
Interest Expense Non Operating,3087000.0,4332000.0,1109000.0,327000.0,
Interest Income Non Operating,,,5451000.0,2908000.0,4965000.0
Operating Income,3575000.0,6357000.0,3234000.0,3987000.0,
Operating Expense,10606000.0,9655000.0,8432000.0,7345000.0,
Other Operating Expenses,3811000.0,3253000.0,2708000.0,2870000.0,
Depreciation Amortization Depletion Income Statement,267000.0,279000.0,379000.0,480000.0,
Depreciation And Amortization In Income Statement,267000.0,279000.0,379000.0,480000.0,
Selling General And Administration,6528000.0,6123000.0,5345000.0,3995000.0,
Selling And Marketing Expense,1146000.0,1018000.0,905000.0,536000.0,
General And Administrative Expense,5382000.0,5105000.0,4440000.0,3459000.0,
Other Gand A,4877000.0,4816000.0,4191000.0,3173000.0,
Rent And Landing Fees,303000.0,289000.0,249000.0,286000.0,
Salaries And Wages,202000.0,0.0,,,37802000.0
Gross Profit,14181000.0,16012000.0,11666000.0,11332000.0,
Cost Of Revenue,55750000.0,51697000.0,42343000.0,38593000.0,
Total Revenue,69931000.0,67709000.0,54009000.0,49925000.0,
Operating Revenue,69931000.0,67709000.0,54009000.0,49925000.0,
