,2023-12-31
Free Cash Flow,4818.0
End Cash Position,494818.0
Beginning Cash Position,0.0
Changes In Cash,494818.0
Financing Cash Flow,490000.0
Cash Flow From Continuing Financing Activities,490000.0
Net Other Financing Charges,490000.0
Operating Cash Flow,4818.0
Cash Flow From Continuing Operating Activities,4818.0
Change In Working Capital,92089.0
Change In Payables And Accrued Expense,100535.0
Change In Accrued Expense,24247.0
Change In Payable,76288.0
Change In Prepaid Assets,-8446.0
Net Income From Continuing Operations,-87271.0
