,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-10898422.0,-10880858.0
Net Income From Continuing Operation Net Minority Interest,-11829116.0,-10629620.0
Reconciled Depreciation,1072809.0,735473.0
EBITDA,-10898422.0,-10880858.0
EBIT,-11971231.0,-11616331.0
Net Interest Income,142115.0,986711.0
Interest Income,142115.0,986711.0
Normalized Income,-11829116.0,-10629620.0
Net Income From Continuing And Discontinued Operation,-11829116.0,-10629620.0
Total Expenses,11971231.0,11616331.0
Total Operating Income As Reported,-11971231.0,-11616331.0
Diluted Average Shares,9068899.0,9068899.0
Basic Average Shares,9068899.0,9068899.0
Diluted EPS,-1.304361,-1.172096
Basic EPS,-1.304361,-1.172096
Diluted NI Availto Com Stockholders,-11829116.0,-10629620.0
Net Income Common Stockholders,-11829116.0,-10629620.0
Net Income,-11829116.0,-10629620.0
Net Income Including Noncontrolling Interests,-11829116.0,-10629620.0
Net Income Continuous Operations,-11829116.0,-10629620.0
Pretax Income,-11829116.0,-10629620.0
Net Non Operating Interest Income Expense,142115.0,986711.0
Interest Income Non Operating,142115.0,986711.0
Operating Income,-11971231.0,-11616331.0
Operating Expense,11971231.0,11616331.0
Research And Development,9845603.0,9136884.0
Selling General And Administration,2125628.0,2479447.0
General And Administrative Expense,2125628.0,2479447.0
Other Gand A,2125628.0,2479447.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
