,2023-12-31,2022-12-31
Ordinary Shares Number,13212308.0,13212308.0
Share Issued,13212308.0,13212308.0
Tangible Book Value,-964574.0,-158433.0
Invested Capital,-964574.0,-158433.0
Working Capital,-964574.0,-157923.0
Net Tangible Assets,-964574.0,-157923.0
Common Stock Equity,-964574.0,-158433.0
Preferred Stock Equity,,510.0
Total Capitalization,-964574.0,-157923.0
Total Equity Gross Minority Interest,-964574.0,-157923.0
Stockholders Equity,-964574.0,-157923.0
Retained Earnings,-3662806.0,-3205588.0
Additional Paid In Capital,2697132.0,3047035.0
Capital Stock,1100.0,630.0
Common Stock,1100.0,120.0
Preferred Stock,0.0,510.0
Total Liabilities Net Minority Interest,1086383.0,160929.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,1086383.0,160929.0
Payables And Accrued Expenses,1086383.0,160929.0
Current Accrued Expenses,110414.0,0.0
Interest Payable,22064.0,0.0
Payables,975969.0,160929.0
Dueto Related Parties Current,964125.0,160929.0
Accounts Payable,11844.0,0.0
Total Assets,121809.0,3006.0
Total Non Current Assets,0.0,0.0
Current Assets,121809.0,3006.0
Receivables,15000.0,0.0
Other Receivables,15000.0,
Cash Cash Equivalents And Short Term Investments,106809.0,3006.0
Cash And Cash Equivalents,106809.0,3006.0
Cash Financial,106809.0,3006.0
