,2022-12-31,2021-12-31
Free Cash Flow,-24286000.0,-3865600.0
Issuance Of Debt,15360000.0,22600000.0
Capital Expenditure,-84500.0,-68600.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,9808400.0,18734400.0
Beginning Cash Position,18734400.0,0.0
Changes In Cash,-8926000.0,18734400.0
Financing Cash Flow,15360000.0,22600000.0
Cash Flow From Continuing Financing Activities,15360000.0,22600000.0
Net Issuance Payments Of Debt,15360000.0,22600000.0
Net Long Term Debt Issuance,15360000.0,22600000.0
Long Term Debt Issuance,15360000.0,22600000.0
Investing Cash Flow,-84500.0,-68600.0
Cash Flow From Continuing Investing Activities,-84500.0,-68600.0
Net PPE Purchase And Sale,-84500.0,-68600.0
Purchase Of PPE,-84500.0,-68600.0
Operating Cash Flow,-24201500.0,-3797000.0
Cash Flow From Continuing Operating Activities,-24201600.0,-3797000.0
Change In Working Capital,-1017400.0,452400.0
Change In Payables And Accrued Expense,-638200.0,907000.0
Change In Payable,-638200.0,907000.0
Change In Account Payable,-542700.0,811500.0
Change In Prepaid Assets,105300.0,-431300.0
Change In Receivables,-484500.0,-23300.0
Changes In Account Receivables,-507800.0,0.0
Other Non Cash Items,2043100.0,653900.0
Depreciation Amortization Depletion,59100.0,6500.0
Depreciation And Amortization,59100.0,6500.0
Depreciation,59100.0,6500.0
Operating Gains Losses,-75809900.0,54186400.0
Gain Loss On Investment Securities,-75809900.0,54186400.0
Net Income From Continuing Operations,50523600.0,-59096200.0
