,2023-12-31,2022-12-31
Ordinary Shares Number,14591554.0,14591554.0
Share Issued,14591554.0,14591554.0
Tangible Book Value,4681000.0,10474000.0
Invested Capital,4681000.0,12148000.0
Working Capital,4558000.0,10182000.0
Net Tangible Assets,4681000.0,10474000.0
Common Stock Equity,4681000.0,12148000.0
Total Capitalization,4681000.0,12148000.0
Total Equity Gross Minority Interest,4681000.0,12148000.0
Stockholders Equity,4681000.0,12148000.0
Retained Earnings,-34321000.0,-25314000.0
Additional Paid In Capital,38994000.0,37453000.0
Capital Stock,8000.0,9000.0
Common Stock,8000.0,9000.0
Total Liabilities Net Minority Interest,273000.0,178000.0
Total Non Current Liabilities Net Minority Interest,1000.0,-1000.0
Current Liabilities,272000.0,179000.0
Current Deferred Liabilities,197000.0,53000.0
Current Deferred Revenue,197000.0,53000.0
Payables And Accrued Expenses,75000.0,126000.0
Current Accrued Expenses,48000.0,-20000.0
Payables,27000.0,146000.0
Accounts Payable,27000.0,146000.0
Total Assets,4954000.0,12326000.0
Total Non Current Assets,125000.0,1965000.0
Goodwill And Other Intangible Assets,0.0,1674000.0
Net PPE,125000.0,291000.0
Current Assets,4830000.0,10361000.0
Other Current Assets,122000.0,355000.0
Inventory,315000.0,291000.0
Receivables,351000.0,301000.0
Accounts Receivable,351000.0,301000.0
Cash Cash Equivalents And Short Term Investments,4042000.0,9414000.0
Cash And Cash Equivalents,4042000.0,9414000.0
