,2023-12-31,2022-12-31
Tangible Book Value,2740.0,6212.0
Invested Capital,2740.0,6212.0
Net Tangible Assets,2740.0,6212.0
Common Stock Equity,2740.0,6212.0
Total Capitalization,2740.0,6212.0
Total Equity Gross Minority Interest,2740.0,6212.0
Stockholders Equity,2740.0,6212.0
Retained Earnings,-22260.0,-18788.0
Additional Paid In Capital,24500.0,24500.0
Capital Stock,500.0,500.0
Common Stock,500.0,500.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,0.0,0.0
Total Assets,2740.0,6212.0
Total Non Current Assets,0.0,0.0
Current Assets,2740.0,6212.0
Prepaid Assets,2740.0,6212.0
