,2023-12-31,2022-12-31
Ordinary Shares Number,51844729.0,51844729.0
Share Issued,51844729.0,51844729.0
Total Debt,32580000.0,1779000.0
Tangible Book Value,-339260000.0,-195242000.0
Invested Capital,-339260000.0,-195242000.0
Working Capital,32486000.0,89203000.0
Net Tangible Assets,-339260000.0,-195242000.0
Capital Lease Obligations,32580000.0,1779000.0
Common Stock Equity,-339260000.0,-195242000.0
Total Capitalization,-339260000.0,-195242000.0
Total Equity Gross Minority Interest,-339260000.0,-195242000.0
Stockholders Equity,-339260000.0,-195242000.0
Gains Losses Not Affecting Retained Earnings,2000.0,-127000.0
Other Equity Adjustments,2000.0,-127000.0
Retained Earnings,-364318000.0,-209325000.0
Additional Paid In Capital,25055000.0,14209000.0
Capital Stock,1000.0,1000.0
Common Stock,1000.0,1000.0
Total Liabilities Net Minority Interest,428872000.0,303410000.0
Total Non Current Liabilities Net Minority Interest,408001000.0,290058000.0
Other Non Current Liabilities,1771000.0,4116000.0
Preferred Securities Outside Stock Equity,375370000.0,285473000.0
Long Term Debt And Capital Lease Obligation,30860000.0,469000.0
Long Term Capital Lease Obligation,30860000.0,469000.0
Current Liabilities,20871000.0,13352000.0
Current Debt And Capital Lease Obligation,1720000.0,1310000.0
Current Capital Lease Obligation,1720000.0,1310000.0
Pensionand Other Post Retirement Benefit Plans Current,5585000.0,3576000.0
Payables And Accrued Expenses,13566000.0,8466000.0
Current Accrued Expenses,12448000.0,6746000.0
Payables,1118000.0,1720000.0
Accounts Payable,1118000.0,1720000.0
Total Assets,89612000.0,108168000.0
Total Non Current Assets,36255000.0,5613000.0
Other Non Current Assets,1031000.0,1138000.0
Net PPE,35224000.0,4475000.0
Accumulated Depreciation,-1408000.0,-257000.0
Gross PPE,36632000.0,4732000.0
Leases,17592000.0,31000.0
Construction In Progress,0.0,578000.0
Other Properties,16360000.0,3594000.0
Machinery Furniture Equipment,2680000.0,529000.0
Properties,0.0,0.0
Current Assets,53357000.0,102555000.0
Restricted Cash,113000.0,206000.0
Prepaid Assets,3678000.0,8984000.0
Receivables,614000.0,500000.0
Taxes Receivable,614000.0,500000.0
Cash Cash Equivalents And Short Term Investments,48952000.0,92865000.0
Other Short Term Investments,2956000.0,67255000.0
Cash And Cash Equivalents,45996000.0,25610000.0
