,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,29443.648,42450.24
Tax Rate For Calcs,0.208,0.24
Normalized EBITDA,-1003385.0,-397907.0
Total Unusual Items,141556.0,176876.0
Total Unusual Items Excluding Goodwill,141556.0,176876.0
Net Income From Continuing Operation Net Minority Interest,997917.0,164068.0
EBITDA,-861829.0,-221031.0
EBIT,-861829.0,-221031.0
Net Interest Income,1980430.0,259976.0
Interest Income,1980430.0,259976.0
Normalized Income,885804.648,29642.24
Net Income From Continuing And Discontinued Operation,997917.0,164068.0
Total Expenses,861829.0,221031.0
Total Operating Income As Reported,-861829.0,-221031.0
Diluted Average Shares,5772846.0,2750003.0
Basic Average Shares,5772846.0,2750003.0
Diluted EPS,0.172864,0.059661
Basic EPS,0.172864,0.059661
Diluted NI Availto Com Stockholders,997917.0,164068.0
Net Income Common Stockholders,997917.0,164068.0
Net Income,997917.0,164068.0
Net Income Including Noncontrolling Interests,997917.0,164068.0
Net Income Continuous Operations,997917.0,164068.0
Tax Provision,262240.0,51753.0
Pretax Income,1260157.0,215821.0
Other Income Expense,141556.0,176876.0
Gain On Sale Of Security,141556.0,176876.0
Net Non Operating Interest Income Expense,1980430.0,259976.0
Interest Income Non Operating,1980430.0,259976.0
Operating Income,-861829.0,-221031.0
Operating Expense,861829.0,221031.0
Other Taxes,28923.0,13536.0
Selling General And Administration,832906.0,207495.0
General And Administrative Expense,832906.0,207495.0
Other Gand A,832906.0,207495.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
