,2022-12-31,2021-12-31
Free Cash Flow,-2849331.0,-1902812.0
Issuance Of Capital Stock,5269771.0,5085800.0
Capital Expenditure,,-13023.0
End Cash Position,5211486.0,3088080.0
Beginning Cash Position,3088080.0,450204.0
Changes In Cash,2123406.0,2637876.0
Financing Cash Flow,4972737.0,4540688.0
Cash Flow From Continuing Financing Activities,4972737.0,4540688.0
Net Other Financing Charges,-297034.0,-545112.0
Net Preferred Stock Issuance,5269771.0,5085800.0
Preferred Stock Issuance,5269771.0,5085800.0
Net Common Stock Issuance,0.0,0.0
Investing Cash Flow,0.0,-13023.0
Cash Flow From Continuing Investing Activities,0.0,-13023.0
Net PPE Purchase And Sale,0.0,-13023.0
Purchase Of PPE,0.0,-13023.0
Operating Cash Flow,-2849331.0,-1889789.0
Cash Flow From Continuing Operating Activities,-2849331.0,-1889789.0
Change In Working Capital,-80743.0,364285.0
Change In Other Working Capital,-20000.0,
Change In Payables And Accrued Expense,-69186.0,169534.0
Change In Accrued Expense,22847.0,14335.0
Change In Payable,-92033.0,155199.0
Change In Account Payable,-92033.0,155199.0
Change In Prepaid Assets,8443.0,194751.0
Asset Impairment Charge,0.0,54901.0
Depreciation Amortization Depletion,24341.0,509.0
Depreciation And Amortization,24341.0,509.0
Amortization Cash Flow,20000.0,0.0
Amortization Of Intangibles,20000.0,0.0
Depreciation,4341.0,509.0
Net Income From Continuing Operations,-2792929.0,-2309484.0
