,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-11188811.0,-7239354.0,-4040072.0
Issuance Of Debt,0.0,10468970.0,0.0
Issuance Of Capital Stock,38335116.0,0.0,0.0
Capital Expenditure,,,-136804.0
End Cash Position,32626768.0,5933702.0,4340178.0
Beginning Cash Position,5933702.0,4340178.0,8720834.0
Changes In Cash,26693066.0,1593524.0,-4380656.0
Financing Cash Flow,38425063.0,9357878.0,-340584.0
Cash Flow From Continuing Financing Activities,38425063.0,9357878.0,-340584.0
Net Other Financing Charges,,-1111250.0,-340901.0
Proceeds From Stock Option Exercised,89947.0,158.0,317.0
Net Preferred Stock Issuance,,,0.0
Preferred Stock Issuance,,,0.0
Net Common Stock Issuance,38335116.0,0.0,
Common Stock Issuance,38335116.0,0.0,
Net Issuance Payments Of Debt,0.0,10468970.0,0.0
Net Long Term Debt Issuance,0.0,10468970.0,0.0
Long Term Debt Issuance,0.0,10468970.0,0.0
Investing Cash Flow,-543186.0,-525000.0,-136804.0
Cash Flow From Continuing Investing Activities,-543186.0,-525000.0,-136804.0
Net Other Investing Changes,-543186.0,-525000.0,
Net PPE Purchase And Sale,,0.0,-136804.0
Purchase Of PPE,,0.0,-136804.0
Operating Cash Flow,-11188811.0,-7239354.0,-3903268.0
Cash Flow From Continuing Operating Activities,-11188811.0,-7239354.0,-3903268.0
Change In Working Capital,-4643770.0,751838.0,739169.0
Change In Other Working Capital,1497794.0,,
Change In Payables And Accrued Expense,1176729.0,1671840.0,955982.0
Change In Accrued Expense,877913.0,826556.0,290816.0
Change In Payable,298816.0,845284.0,665166.0
Change In Account Payable,298816.0,845284.0,665166.0
Change In Prepaid Assets,181707.0,-920002.0,-216813.0
Change In Receivables,-7500000.0,0.0,
Other Non Cash Items,543186.0,4018877.0,
Stock Based Compensation,872248.0,207346.0,233222.0
Depreciation Amortization Depletion,27361.0,27361.0,16133.0
Depreciation And Amortization,27361.0,27361.0,16133.0
Depreciation,27361.0,27361.0,16133.0
Net Income From Continuing Operations,-7987836.0,-12244776.0,-4891792.0
