,2023-12-31,2022-12-31
Ordinary Shares Number,7608750.0,7608750.0
Share Issued,7608750.0,7608750.0
Net Debt,125651.0,120351.0
Total Debt,125651.0,120351.0
Tangible Book Value,-140576.0,-137926.0
Invested Capital,-14925.0,-17575.0
Net Tangible Assets,-140576.0,-137926.0
Common Stock Equity,-140576.0,-137926.0
Total Capitalization,-140576.0,-137926.0
Total Equity Gross Minority Interest,-140576.0,-137926.0
Stockholders Equity,-140576.0,-137926.0
Retained Earnings,-165576.0,-162926.0
Additional Paid In Capital,25000.0,25000.0
Capital Stock,0.0,0.0
Common Stock,0.0,0.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,140576.0,137926.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,140576.0,137926.0
Current Debt And Capital Lease Obligation,125651.0,120351.0
Current Debt,125651.0,120351.0
Other Current Borrowings,125651.0,120351.0
Payables And Accrued Expenses,14925.0,17575.0
Current Accrued Expenses,14925.0,17575.0
Total Assets,0.0,0.0
