,2022-12-31,2021-12-31
Free Cash Flow,-11218000.0,-4229000.0
Repayment Of Debt,-3299000.0,-124000.0
Issuance Of Debt,1565000.0,4379000.0
Issuance Of Capital Stock,14650000.0,0.0
Capital Expenditure,-2033000.0,-151000.0
Interest Paid Supplemental Data,104000.0,7000.0
End Cash Position,110000.0,31000.0
Beginning Cash Position,31000.0,5000.0
Changes In Cash,79000.0,26000.0
Financing Cash Flow,11297000.0,4255000.0
Cash Flow From Continuing Financing Activities,11297000.0,4255000.0
Net Other Financing Charges,-1623000.0,
Proceeds From Stock Option Exercised,4000.0,0.0
Net Common Stock Issuance,14650000.0,0.0
Common Stock Issuance,14650000.0,0.0
Net Issuance Payments Of Debt,-1734000.0,4255000.0
Net Long Term Debt Issuance,-1734000.0,4255000.0
Long Term Debt Payments,-3299000.0,-124000.0
Long Term Debt Issuance,1565000.0,4379000.0
Investing Cash Flow,-2033000.0,-151000.0
Cash Flow From Continuing Investing Activities,-2033000.0,-151000.0
Net Intangibles Purchase And Sale,-50000.0,0.0
Purchase Of Intangibles,-50000.0,0.0
Net PPE Purchase And Sale,-1983000.0,-151000.0
Purchase Of PPE,-1983000.0,-151000.0
Operating Cash Flow,-9185000.0,-4078000.0
Cash Flow From Continuing Operating Activities,-9185000.0,-4078000.0
Change In Working Capital,-637000.0,317000.0
Change In Other Current Liabilities,-77000.0,-65000.0
Change In Other Current Assets,-12000.0,40000.0
Change In Payables And Accrued Expense,85000.0,571000.0
Change In Prepaid Assets,-29000.0,89000.0
Change In Inventory,-226000.0,-46000.0
Change In Receivables,-378000.0,-272000.0
Changes In Account Receivables,-378000.0,-272000.0
Other Non Cash Items,1880000.0,227000.0
Stock Based Compensation,122000.0,0.0
Asset Impairment Charge,41000.0,134000.0
Depreciation Amortization Depletion,1036000.0,824000.0
Depreciation And Amortization,1036000.0,824000.0
Depreciation,1036000.0,824000.0
Operating Gains Losses,826000.0,-42000.0
Net Income From Continuing Operations,-12453000.0,-5538000.0
