,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,90172.95,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-430470.0,-455317.0
Total Unusual Items,429395.0,0.0
Total Unusual Items Excluding Goodwill,429395.0,0.0
Net Income From Continuing Operation Net Minority Interest,428320.0,-455317.0
EBITDA,-1075.0,-455317.0
EBIT,-1075.0,-455317.0
Normalized Income,89097.95,-455317.0
Net Income From Continuing And Discontinued Operation,428320.0,-455317.0
Total Expenses,1075.0,455317.0
Total Operating Income As Reported,-1075.0,-455317.0
Diluted NI Availto Com Stockholders,428320.0,-455317.0
Net Income Common Stockholders,428320.0,-455317.0
Net Income,428320.0,-455317.0
Net Income Including Noncontrolling Interests,428320.0,-455317.0
Net Income Continuous Operations,428320.0,-455317.0
Pretax Income,428320.0,-455317.0
Other Income Expense,429395.0,
Special Income Charges,429395.0,0.0
Other Special Charges,-429395.0,
Operating Income,-1075.0,-455317.0
Operating Expense,1075.0,455317.0
Selling General And Administration,1075.0,455317.0
General And Administrative Expense,1075.0,455317.0
Other Gand A,1075.0,455317.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
