,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-156771000.0,-113600000.0
Total Unusual Items,-119000.0,
Total Unusual Items Excluding Goodwill,-119000.0,
Net Income From Continuing Operation Net Minority Interest,-154993000.0,-111930000.0
Reconciled Depreciation,1284000.0,250000.0
EBITDA,-156890000.0,-113600000.0
EBIT,-158174000.0,-113850000.0
Net Interest Income,3368000.0,1992000.0
Interest Income,3368000.0,1992000.0
Normalized Income,-154874000.0,-111930000.0
Net Income From Continuing And Discontinued Operation,-154993000.0,-111930000.0
Total Expenses,158174000.0,113850000.0
Total Operating Income As Reported,-158174000.0,-113850000.0
Diluted Average Shares,38190750.0,38410615.0
Basic Average Shares,38190750.0,38410615.0
Diluted EPS,-4.06,-2.914038
Basic EPS,-4.06,-2.914038
Diluted NI Availto Com Stockholders,-154993000.0,-111930000.0
Net Income Common Stockholders,-154993000.0,-111930000.0
Net Income,-154993000.0,-111930000.0
Net Income Including Noncontrolling Interests,-154993000.0,-111930000.0
Net Income Continuous Operations,-154993000.0,-111930000.0
Pretax Income,-154993000.0,-111930000.0
Other Income Expense,-187000.0,-72000.0
Other Non Operating Income Expenses,-68000.0,-72000.0
Gain On Sale Of Security,-119000.0,
Net Non Operating Interest Income Expense,3368000.0,1992000.0
Interest Income Non Operating,3368000.0,1992000.0
Operating Income,-158174000.0,-113850000.0
Operating Expense,158174000.0,113850000.0
Research And Development,137676000.0,101304000.0
Selling General And Administration,20498000.0,12546000.0
General And Administrative Expense,20498000.0,12546000.0
Other Gand A,20498000.0,12546000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
