,2023-12-31,2022-12-31
Ordinary Shares Number,868183.0,775638.0
Share Issued,868183.0,775638.0
Net Debt,,564482.0
Total Debt,21350.0,640706.0
Tangible Book Value,7692375.0,-5551150.0
Invested Capital,7692375.0,-4954082.0
Working Capital,7665298.0,-606881.0
Net Tangible Assets,7692375.0,-5551150.0
Capital Lease Obligations,21350.0,43638.0
Common Stock Equity,7692375.0,-5551150.0
Total Capitalization,7692375.0,-4997810.0
Total Equity Gross Minority Interest,7692375.0,-5551150.0
Stockholders Equity,7692375.0,-5551150.0
Retained Earnings,-15071415.0,-6714329.0
Additional Paid In Capital,22750768.0,1154985.0
Capital Stock,13022.0,8194.0
Common Stock,13022.0,8194.0
Total Liabilities Net Minority Interest,826875.0,6329324.0
Total Non Current Liabilities Net Minority Interest,0.0,4994847.0
Derivative Product Liabilities,0.0,4379944.0
Non Current Accrued Expenses,0.0,40213.0
Long Term Debt And Capital Lease Obligation,0.0,574690.0
Long Term Capital Lease Obligation,0.0,21350.0
Long Term Debt,,553340.0
Current Liabilities,826875.0,1334477.0
Current Debt And Capital Lease Obligation,21350.0,66016.0
Current Capital Lease Obligation,21350.0,22288.0
Current Debt,,43728.0
Current Notes Payable,0.0,43728.0
Pensionand Other Post Retirement Benefit Plans Current,596131.0,605290.0
Payables And Accrued Expenses,209394.0,663171.0
Current Accrued Expenses,42075.0,258274.0
Payables,167319.0,404897.0
Accounts Payable,167319.0,404897.0
Total Assets,8519250.0,778174.0
Total Non Current Assets,27077.0,50578.0
Other Non Current Assets,3792.0,5987.0
Net PPE,23285.0,44591.0
Gross PPE,23285.0,44591.0
Other Properties,23285.0,44591.0
Current Assets,8492173.0,727596.0
Current Deferred Assets,0.0,672295.0
Prepaid Assets,89673.0,22715.0
Cash Cash Equivalents And Short Term Investments,8402500.0,32586.0
Cash And Cash Equivalents,8402500.0,32586.0
Cash Financial,,32586.0
